"","Feature","Gain","Cover","Frequency"
"1","TGFB1",0.474501257593289,0.134419379481437,0.04
"2","TIMP1",0.0946626726363275,0.0658944769001916,0.05
"3","LTB",0.0802114819425113,0.0930651364420526,0.03
"4","ADAM9",0.0465903257264289,0.0333853028649947,0.04
"5","IL2RA",0.0386796845786598,0.0277012839938851,0.01
"6","CCL5",0.0343842196255625,0.0197241259710766,0.03
"7","THBS1",0.0276863390875797,0.0462477908769249,0.02
"8","ENG",0.0239847315515724,0.038219629569617,0.04
"9","COL1A1",0.0227765660123846,0.116760242824617,0.06
"10","CD40LG",0.0188318422698914,0.00442774142999237,0.01
"11","CXCL12",0.0181646556246434,0.0248338539669013,0.03
"12","PLAU",0.0171666767132165,0.0275663543466288,0.03
"13","LAMB3",0.0143624213242223,0.0307435676578435,0.05
"14","CD36",0.0123212179010457,0.0211252456335419,0.04
"15","ITGA6",0.010537282973629,0.0447616336332056,0.03
"16","FN1",0.00835104521391681,0.026115295632178,0.02
"17","CD4",0.00714804824887035,0.0646931110963686,0.04
"18","CFH",0.00572067319425221,0.0124066957856619,0.02
"19","MMP12",0.00559285980907978,0.0171332413439801,0.04
"20","ITGA4",0.00528324976202136,0.0145926317186472,0.05
"21","CD63",0.00410273255135621,0.00584090154425277,0.01
"22","CXCR4",0.00380501290968235,0.015688485799143,0.05
"23","FAS",0.00358324221457664,0.010700662936099,0.02
"24","CCR5",0.00339432187284061,0.00624464504790102,0.01
"25","CXCL11",0.00304947810964525,0.0105000962199515,0.03
"26","C3",0.00294255667069477,0.0096680919267483,0.02
"27","CD93",0.00247369375662709,0.0179251172584393,0.01
"28","COL18A1",0.00169605530257518,0.00269940110403375,0.01
"29","CYR61",0.00147071132388203,0.0120680701557931,0.01
"30","CTGF",0.00140913077575102,0.00544501997020272,0.02
"31","ITGB2",0.00103401764520022,0.00865942621087628,0.03
"32","IL16",0.000996277436889907,0.00862689311627716,0.03
"33","CD3D",0.000881592903452237,0.0025630938864896,0.01
"34","HLA-B",0.000764182907762391,0.00296024760602819,0.01
"35","FASLG",0.000584603455468294,0.00360293744501484,0.01
"36","SELL",0.000252116206830261,0.00535078605743463,0.01
"37","CD3G",0.000240442543311388,0.00257977978368705,0.01
"38","VCAM1",0.000199394841476624,0.00255237609011482,0.01
"39","MMP9",0.000163184782872745,0.00250722667176707,0.01
