,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
IL32,IL32,1.65E-200,4.343292572,0.974,0.225,3.15E-196,T cell
CD3D,CD3D,1.16E-157,3.097677547,0.825,0.127,2.21E-153,T cell
HLA-A,HLA-A,1.00E-151,2.171615638,0.993,0.957,1.91E-147,T cell
RPS29,RPS29,5.31E-145,2.283601596,0.991,0.971,1.01E-140,T cell
RPS27,RPS27,1.28E-136,1.807644265,1,1,2.44E-132,T cell
B2M,B2M,1.75E-133,1.44512934,1,1,3.34E-129,T cell
TRAC,TRAC,1.01E-132,2.962632855,0.752,0.121,1.93E-128,T cell
CD2,CD2,6.68E-129,2.683156455,0.693,0.07,1.28E-124,T cell
CD52,CD52,2.98E-124,2.527037168,0.914,0.4,5.70E-120,T cell
CD3E,CD3E,9.77E-121,2.2349685,0.656,0.06,1.87E-116,T cell
RPS21,RPS21,4.42E-117,1.787361314,0.978,0.896,8.45E-113,T cell
RPS3,RPS3,2.31E-115,1.496433861,0.993,0.992,4.41E-111,T cell
S100A4,S100A4,6.70E-114,2.191785017,0.932,0.505,1.28E-109,T cell
RPS19,RPS19,2.38E-113,1.493610585,0.996,0.999,4.55E-109,T cell
HLA-B,HLA-B,3.93E-112,1.202302613,0.991,0.999,7.51E-108,T cell
RPS15A,RPS15A,1.18E-110,1.436920648,0.998,0.995,2.25E-106,T cell
RPL31,RPL31,2.30E-109,1.791704165,0.974,0.951,4.40E-105,T cell
RPL38,RPL38,2.74E-108,1.51279344,0.987,0.96,5.24E-104,T cell
RPL28,RPL28,2.83E-108,1.576040782,0.991,0.981,5.40E-104,T cell
RPL41,RPL41,4.51E-108,1.823096239,0.993,0.995,8.62E-104,T cell
RPL37,RPL37,1.37E-107,1.600213136,0.987,0.966,2.62E-103,T cell
RPSA,RPSA,5.90E-106,1.598699996,0.963,0.945,1.13E-101,T cell
RPL23A,RPL23A,7.73E-106,1.422872139,0.985,0.995,1.48E-101,T cell
IGHG2,IGHG2,1.91E-105,-4.760393846,0.083,0.719,3.65E-101,T cell
RPL36,RPL36,5.38E-105,1.670921095,0.967,0.957,1.03E-100,T cell
RPLP2,RPLP2,4.65E-104,1.486247141,1,0.994,8.89E-100,T cell
RPS27A,RPS27A,1.50E-103,1.420357831,0.998,0.996,2.87E-99,T cell
MZB1,MZB1,2.04E-102,-2.937860219,0.103,0.721,3.90E-98,T cell
JCHAIN,JCHAIN,7.40E-102,-5.37326622,0.105,0.74,1.41E-97,T cell
IGHG1,IGHG1,5.51E-101,-6.251968631,0.208,0.765,1.05E-96,T cell
IGHGP,IGHGP,5.79E-101,-6.930706297,0.143,0.732,1.11E-96,T cell
HERPUD1,HERPUD1,1.93E-100,-1.748431246,0.395,0.94,3.69E-96,T cell
CD79A,CD79A,2.02E-100,-1.894722813,0.02,0.679,3.86E-96,T cell
RPS15,RPS15,6.54E-100,1.311374069,0.998,0.995,1.25E-95,T cell
RPL13,RPL13,8.72E-99,1.216852931,0.998,1,1.67E-94,T cell
RPS18,RPS18,3.34E-98,1.349087231,0.998,0.999,6.39E-94,T cell
RPL21,RPL21,1.44E-97,1.41784357,0.996,0.986,2.75E-93,T cell
PRDX4,PRDX4,3.45E-97,-1.574021518,0.072,0.747,6.59E-93,T cell
RPL13A,RPL13A,3.46E-97,1.20382354,0.998,1,6.61E-93,T cell
