"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"CCL5",0,1.68690960407675,0.944,0.389,0,"0"
"GZMK",0,1.60613660061387,0.705,0.145,0,"0"
"ID2",0,1.55298852869703,0.879,0.533,0,"0"
"HSPA1B",0,1.35408127728311,0.891,0.718,0,"0"
"DNAJB1",0,1.13529899347124,0.935,0.859,0,"0"
"HSPA1A",0,1.10775489269173,0.883,0.754,0,"0"
"JUN",0,1.06751477641813,0.961,0.869,0,"0"
"GZMA",0,1.03250689192295,0.685,0.198,0,"0"
"IER2",0,1.01292733587161,0.94,0.795,0,"0"
"CD8A",0,0.995078513156487,0.549,0.114,0,"0"
"GADD45B",0,0.982905089355576,0.828,0.626,0,"0"
"NEU1",0,0.955659881729503,0.649,0.319,0,"0"
"TNF",0,0.913050515682988,0.464,0.199,0,"0"
"INTS6",0,0.868515677858139,0.811,0.61,0,"0"
"SRSF7",0,0.837902078907056,0.95,0.857,0,"0"
"IFNG",0,0.822744803767279,0.321,0.09,0,"0"
"HCST",0,0.816385337204131,0.804,0.47,0,"0"
"HEXIM1",0,0.799701907419029,0.752,0.466,0,"0"
"NKG7",0,0.789319527788189,0.665,0.184,0,"0"
"TUBB4B",0,0.767939257488695,0.736,0.616,0,"0"
"PPP1R10",0,0.749997703144891,0.853,0.604,0,"0"
"FUS",0,0.745372898477358,0.922,0.85,0,"0"
"CST7",0,0.736405643277011,0.613,0.205,0,"0"
"TRGC2",0,0.690932915632044,0.437,0.097,0,"0"
"IER5L",0,0.66502040607988,0.436,0.215,0,"0"
"KLRG1",0,0.648997506082342,0.377,0.081,0,"0"
"IL32",0,0.643312845833341,0.949,0.695,0,"0"
"RSRP1",0,0.623971236318804,0.874,0.748,0,"0"
"GZMH",0,0.618878548073069,0.348,0.083,0,"0"
"PPP2R5C",0,0.593830775669614,0.797,0.622,0,"0"
"CD3D",0,0.592962590332264,0.824,0.495,0,"0"
"GZMM",0,0.576095180775063,0.503,0.187,0,"0"
"AL031777.3",0,0.556155316503286,0.361,0.107,0,"0"
"CD3G",0,0.55596581874262,0.723,0.397,0,"0"
"DTHD1",0,0.555135709673254,0.313,0.062,0,"0"
"CD2",0,0.55349346840239,0.853,0.533,0,"0"
"CD8B",0,0.55185972984198,0.352,0.085,0,"0"
"CD3E",0,0.548252481557928,0.795,0.469,0,"0"
"RPS4Y1",0,0.547386242995521,0.672,0.301,0,"0"
"GIMAP7",0,0.54526132438973,0.602,0.295,0,"0"
"HNRNPA2B1",0,0.537497599537311,0.983,0.958,0,"0"
"AC245297.3",0,0.536626890339095,0.731,0.453,0,"0"
"SLFN12L",0,0.478467351609072,0.41,0.141,0,"0"
"AL451085.1",0,0.452532546232,0.318,0.082,0,"0"
"CCL4",0,-0.311152116969599,0.474,0.21,0,"0"
"MEF2C",0,-0.540377096759353,0.006,0.189,0,"0"
"LYN",0,-0.638166644032808,0.018,0.256,0,"0"
"SELL",0,-0.680057038230916,0.061,0.325,0,"0"
"CD79A",0,-0.762562417345278,0.004,0.18,0,"0"
"XIST",0,-0.812473428894946,0.018,0.284,0,"0"
"BASP1",0,-0.848399798250326,0.004,0.223,0,"0"
"MARCKS",0,-0.929002052565306,0.006,0.213,0,"0"
"CD55",0,-1.35907762314628,0.2,0.561,0,"0"
"HLA-DRA",0,-2.28630349462397,0.254,0.506,0,"0"
"PYHIN1",4.94065645841247e-324,0.454745641532828,0.46,0.192,1.14460188172042e-319,"0"
"CITED2",1.08694442085074e-322,0.770250109025646,0.541,0.33,2.51812413978491e-318,"0"
"EGR1",7.62590324355964e-320,0.866362713082191,0.692,0.454,1.76669300443546e-315,"0"
"A2M-AS1",6.45175623621792e-319,0.316232736457051,0.207,0.038,1.49467836724461e-314,"0"
"FOSB",1.15429050903536e-318,0.686269399133226,0.92,0.832,2.67414482228222e-314,"0"
"SAMD3",1.14656030853397e-316,0.400983769772023,0.397,0.149,2.65623626678064e-312,"0"
"SDCBP",2.56704767120907e-315,-0.787611584218323,0.23,0.483,5.94707933989005e-311,"0"
"FTH1",2.12243090508362e-312,-1.82354675790257,0.985,0.987,4.91703567780723e-308,"0"
"SH2D1A",6.66080251688732e-312,0.439578688634485,0.435,0.177,1.54310811908729e-307,"0"
"ACTN1",3.66903773124569e-310,-0.437621037538144,0.01,0.183,8.50005971197689e-306,"0"
"PHACTR1",2.08966347982736e-309,-0.709284524603532,0.011,0.185,4.84112338371604e-305,"0"
"TMSB4X",9.96045752307013e-307,0.438123250012557,1,0.99,2.30753919436966e-302,"0"
"CXCL8",2.57810302085637e-300,-3.5698093351173,0.021,0.195,5.97269126841795e-296,"0"
"BANK1",1.30623885982501e-295,-0.548234804349054,0.006,0.165,3.02616356655661e-291,"0"
"HNRNPH1",4.96619227979738e-295,0.508004237944281,0.865,0.764,1.15051776546066e-290,"0"
"DDX3Y",3.56111641687672e-294,0.462286755457598,0.532,0.26,8.25003840297829e-290,"0"
"NAMPT",3.46166185037883e-290,-2.0065086303652,0.236,0.46,8.01963200877263e-286,"0"
"CCR7",1.93368300641006e-284,-0.667182025881261,0.085,0.297,4.47976342095019e-280,"0"
"TRAC",3.41307173325531e-283,0.446401354607764,0.724,0.45,7.90706328443257e-279,"0"
"AP001160.1",2.90393844081044e-282,0.489388425060965,0.371,0.152,6.72755418582554e-278,"0"
"THEMIS",3.6937620305985e-282,0.387698440078282,0.353,0.13,8.55733849628753e-278,"0"
"TCF4",4.49203665392724e-278,-0.493765578416169,0.008,0.165,1.04067013161532e-273,"0"
"CD24",1.21439157325012e-277,-0.647643047888906,0.005,0.153,2.81338095774856e-273,"0"
"EOMES",1.48872297628315e-277,0.308014493745337,0.226,0.055,3.44892451915516e-273,"0"
"SAP18",1.89607671477112e-275,0.547334048450612,0.725,0.684,4.39264092511026e-271,"0"
"AC091271.1",7.43011400334026e-269,0.429801610206387,0.341,0.126,1.72133451115384e-264,"0"
"HLA-DQB1",8.77409769816966e-269,-0.888508737100269,0.123,0.301,2.03269521373496e-264,"0"
"UBE2S",3.16378266919607e-268,0.61864192572073,0.683,0.537,7.32953530972653e-264,"0"
"KLRB1",1.66800211085843e-267,0.956441486503843,0.4,0.183,3.86426049022573e-263,"0"
"CYBB",8.76340025263397e-265,-0.424290394361805,0.002,0.138,2.03021693652771e-260,"0"
"SMAP2",2.26845727377117e-263,-0.62076793587239,0.322,0.524,5.25533496614568e-259,"0"
"VPREB3",1.92391358021539e-261,-0.402307645510361,0.001,0.133,4.45713059128499e-257,"0"
"ELL2",6.23956833420908e-261,-0.462444565855612,0.067,0.272,1.44552079598622e-256,"0"
"SWAP70",1.12723714213347e-259,-0.332112012229662,0.013,0.167,2.6114702871806e-255,"0"
"RALGPS2",1.15719777933748e-259,-0.36089583346925,0.012,0.167,2.68088009539114e-255,"0"
"SLAMF7",1.33526322065373e-259,0.272487028375447,0.285,0.096,3.09340430328851e-255,"0"
"PELI1",6.48271449653608e-259,-0.513415280879495,0.06,0.254,1.50185046741251e-254,"0"
"LINC01871",2.63994661517479e-254,0.310942896934161,0.311,0.114,6.11596432337543e-250,"0"
"SRSF2",4.03023249875261e-253,0.457727467269831,0.794,0.717,9.33683962986017e-249,"0"
"BCL11A",6.04544724804197e-252,-0.338928965290911,0.002,0.134,1.40054876395388e-247,"0"
"HIST1H2BG",1.46595384549753e-250,0.403044756839771,0.308,0.109,3.39617527386412e-246,"0"
