"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"CCL5",0,1.68690960407675,0.944,0.389,0,"0"
"GZMK",0,1.60613660061387,0.705,0.145,0,"0"
"ID2",0,1.55298852869703,0.879,0.533,0,"0"
"HSPA1B",0,1.35408127728311,0.891,0.718,0,"0"
"DNAJB1",0,1.13529899347124,0.935,0.859,0,"0"
"HSPA1A",0,1.10775489269173,0.883,0.754,0,"0"
"JUN",0,1.06751477641813,0.961,0.869,0,"0"
"GZMA",0,1.03250689192295,0.685,0.198,0,"0"
"IER2",0,1.01292733587161,0.94,0.795,0,"0"
"CD8A",0,0.995078513156487,0.549,0.114,0,"0"
"IL7R",0,1.3980664946441,0.954,0.514,0,"1"
"RPS4Y1",0,0.887612858813333,0.765,0.296,0,"1"
"S100A4",0,0.840638347681056,0.844,0.587,0,"1"
"RPL39",0,0.80751920579191,1,0.994,0,"1"
"RPS12",0,0.804946730490657,1,0.996,0,"1"
"RPL30",0,0.804172898898919,1,0.995,0,"1"
"RPS10",0,0.792139845099684,0.99,0.898,0,"1"
"LTB",0,0.782794284494102,0.86,0.585,0,"1"
"GIMAP7",0,0.778505500883383,0.692,0.289,0,"1"
"RPL34",0,0.76389190477237,1,0.996,0,"1"
"HLA-DRA",0,2.62124767994746,0.999,0.427,0,"2"
"HLA-DPB1",0,2.34232511885161,0.999,0.444,0,"2"
"CD79A",0,2.2686259420194,0.981,0.083,0,"2"
"CD74",0,2.23423535401017,1,0.712,0,"2"
"HLA-DRB1",0,2.19938983292443,0.998,0.42,0,"2"
"HLA-DPA1",0,2.07116258140197,0.997,0.373,0,"2"
"CD37",0,1.97306748800991,0.998,0.615,0,"2"
"IGHM",0,1.97256771027226,0.754,0.078,0,"2"
"HLA-DQA1",0,1.91586652110295,0.984,0.195,0,"2"
"CD83",0,1.8715036435715,0.965,0.257,0,"2"
"CXCL8",0,5.64880515350451,0.958,0.102,0,"3"
"S100A9",0,4.60201406662114,0.917,0.05,0,"3"
"S100A8",0,4.35881575811033,0.84,0.032,0,"3"
"G0S2",0,4.33613569529894,0.931,0.047,0,"3"
"NAMPT",0,4.1907216505774,0.998,0.38,0,"3"
"IL1B",0,3.63085123668874,0.743,0.038,0,"3"
"SOD2",0,3.59977834582635,0.984,0.384,0,"3"
"FCGR3B",0,3.41386771626883,0.886,0.012,0,"3"
"FTH1",0,3.33219944643652,1,0.985,0,"3"
"PLEK",0,3.30183017788617,0.824,0.174,0,"3"
"RGS1",0,1.8613510041068,0.861,0.441,0,"4"
"DUSP4",0,1.72600764237089,0.675,0.147,0,"4"
"CXCL13",0,1.60828501430518,0.265,0.015,0,"4"
"CTLA4",0,1.5103983594802,0.582,0.07,0,"4"
"TNFAIP3",0,1.47452877764453,0.947,0.635,0,"4"
"CD2",0,1.39337672422479,0.941,0.542,0,"4"
"PRDM1",0,1.25839118441432,0.553,0.182,0,"4"
"BATF",0,1.24492952239032,0.485,0.121,0,"4"
"ARID5B",0,1.18407672475163,0.616,0.334,0,"4"
"TNFRSF18",0,1.15307315547625,0.435,0.049,0,"4"
"NR4A2",0,1.39993426282249,0.928,0.639,0,"5"
"YME1L1",0,1.29894295708443,0.951,0.559,0,"5"
"ZNF331",0,1.18854947604628,0.871,0.532,0,"5"
"TCF7",0,1.18756550242948,0.893,0.256,0,"5"
"BCL11B",0,1.1768495129527,0.873,0.282,0,"5"
"ZFAS1",0,1.10566369025508,0.978,0.729,0,"5"
"CITED2",0,1.09368221307711,0.813,0.319,0,"5"
"UBE2S",0,1.08909884447177,0.931,0.525,0,"5"
"JUNB",0,1.08887869275291,0.998,0.937,0,"5"
"AREG",5.44779338426271e-294,1.09571781557975,0.588,0.27,1.26209029333214e-289,"5"
"MT-ND2",0,1.37709960613525,1,0.993,0,"6"
"INTS6",0,1.37177522161595,0.846,0.619,0,"6"
"MT-ND1",0,1.35070293425785,1,0.995,0,"6"
"MTRNR2L12",0,1.33822157522085,0.999,0.959,0,"6"
"MT-ATP6",0,1.26751851733377,1,0.997,0,"6"
"MT-CYB",0,1.24671224223484,1,0.995,0,"6"
"MT-ND5",0,1.20282172785838,1,0.984,0,"6"
"MT-ND4",0,1.15262585593177,1,0.996,0,"6"
"HEXIM1",0,1.11231092588244,0.683,0.488,0,"6"
"FUS",0,1.07875477363264,0.957,0.851,0,"6"
"HLA-DRA",0,1.91785843224072,0.993,0.441,0,"7"
"CD83",0,1.847833207971,0.825,0.283,0,"7"
"IGHM",0,1.79828290290725,0.701,0.098,0,"7"
"MS4A1",0,1.79266249237467,0.918,0.129,0,"7"
"BANK1",0,1.68658482816784,0.907,0.095,0,"7"
"CD69",0,1.65686507385917,0.85,0.59,0,"7"
"MEF2C",0,1.59191211504793,0.864,0.121,0,"7"
"HLA-DQA1",0,1.55796957930676,0.922,0.219,0,"7"
"REL",0,1.54281870465405,0.932,0.698,0,"7"
"CD74",0,1.49481691989296,1,0.719,0,"7"
"KLF2",0,1.54609374595086,0.82,0.597,0,"8"
"SARAF",0,1.51690088706636,0.996,0.754,0,"8"
"CCR7",0,1.49683430448419,0.839,0.235,0,"8"
"IL7R",0,1.49182882044613,0.969,0.536,0,"8"
"RGCC",0,1.4147631611632,0.848,0.314,0,"8"
"GPR183",0,1.34834351009673,0.856,0.307,0,"8"
"RPS4X",0,1.33044410986585,1,0.991,0,"8"
"FAM177A1",0,1.20179458027424,0.879,0.348,0,"8"
"RPS6",0,1.15150043898555,1,0.995,0,"8"
"TSC22D3",0,1.14387710017993,0.985,0.716,0,"8"
"GNLY",0,4.48687321382836,0.976,0.04,0,"9"
"GZMB",0,2.2268158547914,0.755,0.056,0,"9"
"NKG7",0,2.13996096997791,0.903,0.208,0,"9"
"CCL5",0,1.80611298721516,0.964,0.43,0,"9"
"KLRD1",0,1.65259614332357,0.732,0.095,0,"9"
"GZMA",0,1.61590307723695,0.788,0.23,0,"9"
"PRF1",0,1.45590748664542,0.658,0.098,0,"9"
"CCL4",0,1.43084299080052,0.667,0.22,0,"9"
"TRDC",0,1.255920449879,0.516,0.045,0,"9"
"CTSW",0,1.16427581132725,0.593,0.087,0,"9"
"KRT18",0,3.95405380097685,0.934,0.058,0,"10"
"KRT8",0,3.9200238094491,0.929,0.038,0,"10"
"KRT19",0,3.85216531857043,0.932,0.034,0,"10"
"PIGR",0,3.64276358783514,0.831,0.029,0,"10"
"AGR2",0,3.58775242410961,0.861,0.029,0,"10"
"S100A6",0,3.48722505388854,0.991,0.708,0,"10"
"S100P",0,3.25923635772309,0.856,0.046,0,"10"
"ANXA2",0,3.00186045558458,0.91,0.227,0,"10"
"CD24",0,2.85674258165938,0.874,0.097,0,"10"
"MUC1",0,2.81001819533414,0.857,0.026,0,"10"
"APOE",0,4.17578662075181,0.451,0.027,0,"11"
"LYZ",0,4.10971661074457,0.911,0.109,0,"11"
"CTSB",0,3.55042976101965,0.855,0.183,0,"11"
"SPP1",0,3.35365686721733,0.277,0.013,0,"11"
"APOC1",0,3.25906649765458,0.456,0.014,0,"11"
"PSAP",0,3.15960037459252,0.894,0.286,0,"11"
"FTL",0,3.11206922601118,0.998,0.975,0,"11"
"AC020656.1",0,3.08320154297611,0.801,0.055,0,"11"
"CTSL",0,2.99194558711103,0.692,0.05,0,"11"
"C1QB",0,2.94709711229176,0.416,0.007,0,"11"
"KLRD1",0,2.07622951289168,0.877,0.101,0,"12"
"NKG7",0,2.01573571184324,0.968,0.217,0,"12"
