"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"RETN",1.35399529877445e-46,1.58181418756611,0.545,0.143,2.08298636763462e-42,"0"
"IFITM3",3.67101865887352e-40,1.01556524986774,0.941,0.774,5.64749510481103e-36,"0"
"CALR",3.26259189811811e-38,0.783750930273586,0.944,0.853,5.0191713760649e-34,"0"
"LAP3",4.06667982774214e-35,0.736292852237071,0.923,0.784,6.2561802469985e-31,"0"
"CYBB",9.63083737863184e-35,0.872246659188484,0.948,0.815,1.48160802232872e-30,"0"
"HLA-DQA2",3.16938702160164e-31,-1.18525805007758,0.045,0.364,4.87578499403196e-27,"0"
"HSPA1A",1.32553932759409e-27,-1.60676386611679,0.647,0.872,2.03920970157075e-23,"0"
"SLC8A1",2.06634282415119e-27,0.632012799301054,0.762,0.595,3.17886180067419e-23,"0"
"RNASE1",2.33963215783516e-27,-1.64048275030158,0.105,0.424,3.59929011161361e-23,"0"
"FN1",3.74710911660488e-27,1.29897590615082,0.573,0.333,5.76455266498495e-23,"0"
"VAMP5",6.14087035612899e-26,0.736811713972888,0.706,0.468,9.44711495586883e-22,"0"
"FBP1",2.18129414273455e-25,0.91579900538505,0.615,0.314,3.35570290918284e-21,"0"
"XIST",5.06599900190674e-25,0.620448657249514,0.934,0.769,7.79353286453332e-21,"0"
"PSME2",7.27564828682466e-25,0.64722744500194,0.916,0.786,1.11928573244511e-20,"0"
"OLR1",1.97379195499502e-23,0.818107337876801,0.857,0.723,3.03648154356433e-19,"0"
"GBP1",2.20248602271514e-23,0.809529488398709,0.843,0.711,3.38830449734497e-19,"0"
"SH3BGRL3",3.58306542060635e-23,0.559556478206871,0.979,0.968,5.5121878430608e-19,"0"
"ANKRD22",3.75424665999398e-23,0.696634086726994,0.437,0.16,5.77553306173473e-19,"0"
"MXD1",7.45972124163829e-23,0.760940623422646,0.867,0.767,1.14760351581364e-18,"0"
"TYMP",9.32979077140477e-23,0.526059219144396,0.983,0.949,1.43529501227291e-18,"0"
"PPA1",1.25683024316384e-22,0.827313826282351,0.787,0.592,1.93350764608326e-18,"0"
"NCL",5.80420095406638e-22,0.480912018946712,0.871,0.838,8.92918274773572e-18,"0"
"ATP1B3",7.61326948281629e-22,0.519597806478732,0.983,0.882,1.17122537723646e-17,"0"
"PLXDC2",8.08420061452949e-22,0.593758958549426,0.899,0.739,1.24367342253922e-17,"0"
"CCL4",1.20616694469912e-21,-1.75211783337199,0.294,0.607,1.85556722772512e-17,"0"
"SERPINA1",2.34535783620617e-21,0.569365741716217,0.927,0.798,3.60809849521958e-17,"0"
"IFI6",3.29879586052782e-21,0.841122825457498,0.766,0.618,5.07486755183599e-17,"0"
"STAT1",3.86728852645046e-21,0.547553285723851,0.944,0.778,5.94943666909139e-17,"0"
"CCL3L1",4.2365989089161e-21,-2.32519350328455,0.196,0.48,6.51758376147653e-17,"0"
"LY6E",7.20757729776287e-21,0.696036212312585,0.752,0.56,1.10881369148784e-16,"0"
"HSP90B1",7.59517482787105e-21,0.604022977334511,0.951,0.879,1.16844169551968e-16,"0"
"TUBA1B",9.15674924531817e-21,0.580093140537637,0.937,0.818,1.40867430389975e-16,"0"
"MARCO",1.3978091654644e-20,0.699047443860446,0.444,0.17,2.15038962015043e-16,"0"
"ZNF331",1.50168155619474e-20,0.655819520582396,0.857,0.727,2.31018690604999e-16,"0"
