"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"RETN",1.35399529877445e-46,1.58181418756611,0.545,0.143,2.08298636763462e-42,"0"
"IFITM3",3.67101865887352e-40,1.01556524986774,0.941,0.774,5.64749510481103e-36,"0"
"CYBB",9.63083737863184e-35,0.872246659188484,0.948,0.815,1.48160802232872e-30,"0"
"FN1",3.74710911660488e-27,1.29897590615082,0.573,0.333,5.76455266498495e-23,"0"
"FBP1",2.18129414273455e-25,0.91579900538505,0.615,0.314,3.35570290918284e-21,"0"
"OLR1",1.97379195499502e-23,0.818107337876801,0.857,0.723,3.03648154356433e-19,"0"
"PPA1",1.25683024316384e-22,0.827313826282351,0.787,0.592,1.93350764608326e-18,"0"
"IFI6",3.29879586052782e-21,0.841122825457498,0.766,0.618,5.07486755183599e-17,"0"
"AREG",6.82152604121201e-15,0.849769889346839,0.689,0.54,1.04942356618006e-10,"0"
"CXCL10",6.06440937796712e-12,1.00204456421152,0.538,0.414,9.32948738706462e-08,"0"
"FTL",1.16346025416125e-79,2.19024620936954,1,0.998,1.78986725500167e-75,"1"
"APOC1",3.34021235500557e-55,1.822778377032,0.961,0.488,5.13858268694057e-51,"1"
"APOE",1.93789580042564e-54,2.03135906682804,0.943,0.496,2.98125889937481e-50,"1"
"C1QC",5.29424523774943e-53,1.11061516035849,0.935,0.415,8.14466687375372e-49,"1"
"CTSD",2.51741587253247e-32,1.17552827262209,0.987,0.747,3.87279257830395e-28,"1"
"NUPR1",3.86404854038962e-26,1.57248218669048,0.448,0.207,5.94445227453539e-22,"1"
"IGKC",2.37076099570607e-24,1.71078715088603,0.687,0.369,3.64717871579421e-20,"1"
"CSTB",3.02896145718861e-21,1.11044780031822,0.987,0.871,4.65975430573896e-17,"1"
"IFI27",2.81771593252844e-18,1.17170457149668,0.596,0.288,4.33477419060175e-14,"1"
"SELENOP",2.14403188036963e-17,1.77086716612058,0.326,0.121,3.29837864476065e-13,"1"
"C1QA",3.06970440722226e-119,2.28434687677428,0.995,0.46,4.72243326007072e-115,"2"
"C1QB",2.36561558866928e-114,2.36981797599783,0.973,0.445,3.63926302160882e-110,"2"
"CTSB",1.1038592313754e-112,1.86689720576555,1,0.923,1.69817704154791e-108,"2"
"CCL18",4.95436022437714e-109,3.83440911141217,0.766,0.203,7.62178776918179e-105,"2"
"ADAMDEC1",1.26543826520747e-105,1.91399047212149,0.793,0.092,1.94675022719517e-101,"2"
"C1QC",1.51409805436103e-103,1.89943217957245,0.986,0.408,2.32928844682901e-99,"2"
"LGMN",4.23373411288038e-88,1.90334261770284,0.955,0.489,6.51317655925517e-84,"2"
"RNASE1",4.77855405224991e-82,1.86078861355807,0.878,0.255,7.35132755398127e-78,"2"
"MMP12",1.4150047934563e-70,4.22980037107072,0.577,0.105,2.17684337425317e-66,"2"
"CXCL9",3.2140491243575e-38,1.98865563282106,0.694,0.359,4.94449317291158e-34,"2"
"IL1B",1.7112161609198e-129,3.36562542631261,1,0.61,2.63253494195902e-125,"3"
"PTGS2",7.93386017145159e-129,3.6734863350708,0.951,0.486,1.22054504877611e-124,"3"
"IL1RN",1.82293646450769e-122,3.11858402116944,0.967,0.553,2.80440545699863e-118,"3"
"TIMP1",4.10479284698346e-106,2.84285570215362,0.995,0.762,6.31481331579935e-102,"3"
