"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"PPIF",2.9e-28,-2.915902775,0.674,1,3.21e-24,"E3"
"KDM6B",2.77e-23,-2.278568563,0.681,1,3.08e-19,"E3"
"MCEMP1",6e-23,-2.645156062,0.007,0.95,6.65e-19,"E3"
"CD300E",4.78e-22,-2.782857839,0.234,0.95,5.3e-18,"E3"
"FPR2",3.68e-21,-2.595230836,0.128,0.95,4.08e-17,"E3"
"SSBP3",8.29e-16,-1.538763885,0.156,0.65,9.19e-12,"E3"
"SLC11A1",1.73e-14,-1.973173237,0.454,1,1.92e-10,"E3"
"ECE1",4.24e-14,-1.534689294,0.028,0.75,4.71e-10,"E3"
"FPR1",5.31e-13,-1.379648947,0.56,1,5.89e-09,"E3"
"VDR",5.91e-13,-1.397720003,0.319,0.9,6.55e-09,"E3"
"SYN1",9.8e-13,-1.40599236,0,0.55,1.09e-08,"E3"
"ITGAX",4.25e-12,-1.385238515,0.851,1,4.72e-08,"E3"
"FAM129B",5.05e-12,-1.427917048,0.326,0.95,5.59e-08,"E3"
"PDE4B",1.71e-11,-1.6257799,0.766,1,1.9e-07,"E3"
"RASSF5",2.83e-11,-1.573120135,0.504,0.9,3.14e-07,"E3"
"PHLDA2",7.42e-11,-1.719886456,0.34,0.9,8.23e-07,"E3"
"TRIM25",4.66e-10,-1.412868731,0.411,0.85,5.17e-06,"E3"
"AREG",5.51e-10,-2.52811664,0.255,0.9,6.11e-06,"E3"
"AC005280.2",1.36e-09,-0.877329504,0.007,0.5,1.5e-05,"E3"
"GK5",1.56e-08,-1.060600011,0.163,0.75,0.000172641,"E3"
"FFAR2",2.32e-08,-1.149605017,0.007,0.45,0.000257766,"E3"
"CDC42EP2",2.76e-07,-1.010268335,0.043,0.5,0.003058952,"E3"
"ADGRE3",5.03e-07,-0.584962501,0,0.3,0.005575636,"E3"
"LILRA5",1.15e-06,-1.240698076,0.184,0.7,0.012699318,"E3"
"TRIB1",1.29e-06,-1.329829416,0.404,0.8,0.014298174,"E3"
"JAK3",2.1e-06,-0.809803753,0.277,0.7,0.023245561,"E3"
