node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
SYT1,7,0.30779,2,7,7.599,7,0.10357,13.07619,5.15268,292,292,0.04762
ACTB,9,0.2842,4,7,9.209,29,0.145,14.03333,5.56696,447,456,0.14286
CDK5,5,0.30779,2,5,8.239,29,0.12083,13.35,5.51518,454,454,0.1
GAS6,5,0.30779,2,5,7.555,5,0.10357,11.27619,4.79018,200,208,0.2
SPP1,6,0.30898,3,5,8.864,8,0.12083,12.56667,5.25625,266,280,0.3
CD44,5,0.30898,3,4,8.266,3,0.12083,11.48333,5.12679,61,70,0.33333
DPYSL3,3,0,1,3,5.706,3,0.10357,10.32619,4.91964,106,106,0
HDAC1,3,0,1,3,7.795,29,0.145,12.53333,5.59286,418,418,0
PTPRZ1,2,0,1,2,4.915,2,0.09063,9.25357,4.50536,54,54,0
PEX26,2,0.30779,2,2,2.262,1,0.075,2,0.15,0,0,1
PEX6,2,0.30779,2,2,2.261,1,0.075,2,0.15,0,0,1
PEX1,2,0.30779,2,2,2.239,1,0.075,2,0.15,0,0,1
FAM20C,2,0.30779,2,2,6.906,1,0.10357,9.60952,4.68661,0,0,1
MERTK,2,0,1,2,4.824,2,0.09063,8.44167,4.14286,54,56,0
NEFM,2,0.30779,2,2,6.441,1,0.10357,10.40952,4.99732,0,0,1
TYRO3,2,0.30779,2,2,5.579,1,0.09063,8.275,4.11696,0,0,1
AXL,2,0.30779,2,2,5.675,1,0.09063,8.275,4.11696,0,0,1
MSN,2,0.30779,2,2,7.285,1,0.12083,9.85,4.91964,0,0,1
ITGA8,2,0.30779,2,2,7.481,1,0.12083,10.31667,5.04911,0,0,1
TRIP10,1,0,1,1,4.749,1,0.09063,8.5869,4.45357,0,0,0
ZDHHC17,1,0,1,1,4.378,1,0.09063,8.5869,4.45357,0,0,0
SV2B,1,0,1,1,4.509,1,0.09063,8.5869,4.45357,0,0,0
TMEM192,1,0,1,1,1.498,1,0.05,1,0.15,0,0,0
RARRES1,1,0,1,1,1.498,1,0.05,1,0.15,0,0,0
RNGTT,1,0,1,1,3.121,1,0.08056,6.96468,3.80625,0,0,0
SULF1,1,0,1,1,1.514,1,0.05,1,0.15,0,0,0
NDST3,1,0,1,1,1.514,1,0.05,1,0.15,0,0,0
GAD1,1,0,1,1,4.657,1,0.09063,8.5869,4.45357,0,0,0
TMEM116,1,0,1,1,3.773,1,0.09063,7.5369,4.22054,0,0,0
PDLIM4,1,0,1,1,3.525,1,0.09063,7.5369,4.22054,0,0,0
CXXC1,1,0,1,1,4.766,1,0.12083,8.8,4.89375,0,0,0
CRX,1,0,1,1,3.158,1,0.08056,6.47421,3.44375,0,0,0
GNG12,1,0,1,1,1.488,1,0.05,1,0.15,0,0,0
CREB5,1,0,1,1,1.488,1,0.05,1,0.15,0,0,0
PKN1,1,0,1,1,4.896,1,0.10357,8.05952,4.42768,0,0,0
CAPN6,1,0,1,1,5.123,1,0.10357,8.99286,4.81607,0,0,0
CST2,1,0,1,1,1.496,1,0.05,1,0.15,0,0,0
C1orf198,1,0,1,1,1.496,1,0.05,1,0.15,0,0,0
NEBL,1,0,1,1,5.514,1,0.12083,9.18333,4.86786,0,0,0
ANGPTL4,1,0,1,1,5.436,1,0.12083,9.18333,4.86786,0,0,0
