,logFC,t,P.Value,adj.P.Val,B
HUMMERICH_BENIGN_SKIN_TUMOR_DN,-0.249095880498998,-22.6004483036993,1.49876179455617e-104,9.41971787878551e-101,227.651365119015
MCBRYAN_TERMINAL_END_BUD_DN,-0.321496116386149,-19.5121881472367,6.51791356516702e-80,2.04825433785374e-76,171.184389311748
LI_ADIPOGENESIS_BY_ACTIVATED_PPARG,-0.141401555886946,-17.5084179270048,2.0221148154281e-65,4.23633053832187e-62,137.990814518596
POOLA_INVASIVE_BREAST_CANCER_UP,0.0176694707032619,15.1390152247757,6.04751214044915e-50,9.50215345068073e-47,102.5702576535
DELASERNA_TARGETS_OF_MYOD_AND_SMARCA4,-0.176155779141464,-14.9899154135064,4.92327067827778e-49,6.18855124259517e-46,100.487171417688
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,-0.223164860782011,-14.8792029589504,2.30940017070506e-48,2.41909667881356e-45,98.9518724934143
CROMER_TUMORIGENESIS_UP,0.107068045785283,14.8408591853658,3.93537509480285e-48,3.53340463869084e-45,98.4224288859075
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,-0.283989253902294,-14.7692019160422,1.0622417017512e-47,8.34523636938284e-45,97.4361591528656
BIOCARTA_INFLAM_PATHWAY,0.12427874557868,14.4302789817804,1.10058430271734e-45,7.68574704730944e-43,92.827358827033
UROSEVIC_RESPONSE_TO_IMIQUIMOD,0.110125537884047,13.9473139662308,6.97907729386206e-43,4.38635007919231e-40,86.4210337264578
OHM_EMBRYONIC_CARCINOMA_DN,-0.151330941183949,-13.3651235794175,1.29207811723724e-39,7.38246451530551e-37,78.9536928244542
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN,-0.152603526254209,-13.1959262536906,1.09147858865717e-38,5.71661910809195e-36,76.8364186336015
NAKAJIMA_EOSINOPHIL,-0.168300699044894,-13.1192821976157,2.84704728046733e-38,1.33179207115391e-35,75.8852202934312
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP,0.0441870174400288,13.1159850210261,2.9666012722601e-38,1.33179207115391e-35,75.8444110886666
WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE,0.111966982997909,13.0297200344972,8.67457366049528e-38,3.63464636374752e-35,74.779958095925
MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS_UP,0.0702840563972803,12.9568965584537,2.13559301713073e-37,8.38887632041664e-35,73.8862448010616
PIEPOLI_LGI1_TARGETS_UP,-0.134770700606784,-12.9453584117657,2.46225953191444e-37,9.10311832828369e-35,73.7450555613297
KAPOSI_LIVER_CANCER_MET_DN,-0.221286202254558,-12.7038050103261,4.72357909393915e-36,1.64931636696709e-33,70.8150932546129
BIOCARTA_IL5_PATHWAY,0.109065134948544,12.6518274050077,8.86211991748711e-36,2.93149598323192e-33,70.1910932181753
