"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"Ptprb",0,3.49011549826061,0.993,0.33,0,"0"
"Aqp1",0,3.47818935998594,0.994,0.322,0,"0"
"Dnase1l3",0,3.47779792712489,0.965,0.287,0,"0"
"Kdr",0,3.34828326882106,0.984,0.272,0,"0"
"Clec4g",0,3.23544846237061,0.982,0.289,0,"0"
"Fcgr2b",0,3.05234031876452,0.953,0.308,0,"0"
"Ehd3",0,3.0001212320754,0.988,0.438,0,"0"
"Plpp3",0,2.92407477822449,0.985,0.403,0,"0"
"Gpihbp1",0,2.88287045379496,0.953,0.198,0,"0"
"Gpr182",0,2.82402236806701,0.96,0.207,0,"0"
"Ttr",0,3.47603083390187,1,0.81,0,"1"
"Bhmt",0,3.38952831548854,0.994,0.503,0,"1"
"Trf",0,3.28212691630246,1,0.834,0,"1"
"Fabp1",0,3.25019149250888,1,0.879,0,"1"
"Apoa2",0,3.20387388505831,1,0.906,0,"1"
"Hpx",0,3.16779345727436,0.998,0.439,0,"1"
"Ass1",0,3.07101234931752,0.994,0.536,0,"1"
"Apoc1",0,3.03906686074885,1,0.927,0,"1"
"Apoc3",0,3.02133020653506,1,0.664,0,"1"
"Serpina1a",0,3.00890672414625,1,0.646,0,"1"
"Lyz2",0,4.79776326632695,0.959,0.06,0,"2"
"C1qa",0,4.36362634623713,0.909,0.031,0,"2"
"C1qb",0,4.27980680658117,0.939,0.05,0,"2"
"Cd5l",0,4.24617573124727,0.695,0.029,0,"2"
"Wfdc17",0,4.13924385416062,0.926,0.045,0,"2"
"C1qc",0,4.08954041406923,0.913,0.029,0,"2"
"Ctss",0,3.44707354887139,0.895,0.113,0,"2"
"Fcer1g",0,2.94277727519075,0.961,0.18,0,"2"
"Vsig4",3.60201963821773e-268,3.06671502810962,0.53,0.015,5.77944050952034e-264,"2"
"Clec4f",1.64364714109173e-238,3.53604268288941,0.49,0.02,2.63723183788168e-234,"2"
"Dcn",0,6.13156141011198,0.974,0.099,0,"3"
"Col3a1",0,4.66192523736305,0.867,0.025,0,"3"
"Col1a2",0,4.24473234466478,0.856,0.019,0,"3"
"Ecm1",0,4.14071582400675,0.871,0.136,0,"3"
"Cxcl12",0,3.94997862084826,0.882,0.105,0,"3"
"Colec11",0,3.89060234370507,0.821,0.022,0,"3"
"Col14a1",0,3.6558751320731,0.864,0.023,0,"3"
"Lum",0,3.5558692210796,0.799,0.017,0,"3"
"Bgn",0,3.53940268254204,0.976,0.458,0,"3"
"Col1a1",6.87826482731493e-295,4.23896195743638,0.646,0.012,1.10361759154268e-290,"3"
"Trbc2",0,3.09291842136959,0.87,0.005,0,"4"
"Nkg7",0,2.97933348049541,0.822,0.004,0,"4"
"Ms4a4b",0,2.76087488654049,0.863,0.013,0,"4"
"Cd3g",0,2.66678925061142,0.832,0.005,0,"4"
"Cd3d",0,2.27858476989686,0.806,0.005,0,"4"
"Ccl5",4.0902151073543e-254,4.58718903116215,0.708,0.012,6.56275013974998e-250,"4"
"Tmsb10",1.41669604374811e-219,2.28826569693903,0.978,0.664,2.27308880219384e-215,"4"
"Trbc1",1.25688739340887e-217,2.47471782935339,0.59,0.004,2.01667582272454e-213,"4"
"Cd52",1.07034333141707e-174,2.39206695074684,0.921,0.345,1.7173658752587e-170,"4"
"Gzma",2.18845320005144e-40,2.57653848178557,0.124,0.002,3.51137315948254e-36,"4"
"Igkc",0,5.66228506790207,0.944,0.037,0,"5"
"Cd79a",0,3.72813781336199,0.996,0.004,0,"5"
