"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"Ptprb",0,3.49011549826061,0.993,0.33,0,"0"
"Aqp1",0,3.47818935998594,0.994,0.322,0,"0"
"Dnase1l3",0,3.47779792712489,0.965,0.287,0,"0"
"Kdr",0,3.34828326882106,0.984,0.272,0,"0"
"Clec4g",0,3.23544846237061,0.982,0.289,0,"0"
"Fcgr2b",0,3.05234031876452,0.953,0.308,0,"0"
"Ehd3",0,3.0001212320754,0.988,0.438,0,"0"
"Plpp3",0,2.92407477822449,0.985,0.403,0,"0"
"Gpihbp1",0,2.88287045379496,0.953,0.198,0,"0"
"Gpr182",0,2.82402236806701,0.96,0.207,0,"0"
"Bmp2",0,2.78722234543249,0.953,0.254,0,"0"
"Stab2",0,2.69118043380397,0.925,0.176,0,"0"
"Maf",0,2.50998524647714,0.988,0.553,0,"0"
"Nrp1",0,2.50842432059485,0.976,0.345,0,"0"
"Mrc1",0,2.48328811625171,0.977,0.341,0,"0"
"Oit3",0,2.45342382675972,0.863,0.05,0,"0"
"F8",0,2.38736883954067,0.906,0.093,0,"0"
"Adgrf5",0,2.368709968838,0.92,0.107,0,"0"
"Tspan7",0,2.36791900855545,0.915,0.149,0,"0"
"Selenop",0,2.30916103756947,1,0.915,0,"0"
"Stab1",0,2.30784608953458,0.94,0.196,0,"0"
"Eng",0,2.30615317260386,0.988,0.406,0,"0"
"Cldn5",0,2.3026279488149,0.86,0.025,0,"0"
"Egfl7",0,2.26972478041535,0.961,0.193,0,"0"
"Flt4",0,2.23929714503615,0.854,0.039,0,"0"
"Cavin2",0,2.17178171724363,0.924,0.141,0,"0"
"Plxnc1",0,2.15135222232923,0.883,0.148,0,"0"
"Flt1",0,2.13497046040699,0.887,0.077,0,"0"
"Clec14a",0,2.13386655686799,0.869,0.07,0,"0"
"Tmem2",0,2.1231546994022,0.855,0.056,0,"0"
"Plxnd1",0,2.11273213667554,0.893,0.11,0,"0"
"Adam23",0,2.10629594359467,0.79,0.039,0,"0"
"Il6st",0,2.05313233111782,0.978,0.432,0,"0"
"Tinagl1",0,2.05088143101673,0.924,0.164,0,"0"
"Snrk",0,2.04694098595281,0.947,0.305,0,"0"
"Meis2",0,2.0288490989718,0.869,0.072,0,"0"
"Mmrn2",0,2.0138931266053,0.835,0.039,0,"0"
"Cyp4b1",0,2.00379180518898,0.797,0.041,0,"0"
"Fam167b",0,1.98722608785273,0.845,0.044,0,"0"
"Dab2",0,1.96801165580904,0.895,0.208,0,"0"
"Plpp1",0,1.96090913942377,0.826,0.099,0,"0"
"Lyve1",0,1.92042082302779,0.582,0.026,0,"0"
"Gng11",0,1.91904038803891,0.945,0.252,0,"0"
"Sema6a",0,1.9140698170552,0.838,0.034,0,"0"
"Jak1",0,1.90983081510364,0.987,0.648,0,"0"
"Tm4sf1",0,1.90464843362917,0.808,0.073,0,"0"
"Gatm",0,1.89758253282503,0.859,0.16,0,"0"
"Adgrl4",0,1.87936395012989,0.834,0.042,0,"0"
"Sptbn1",0,1.87225302614887,0.989,0.538,0,"0"
"Cd300lg",0,1.86053337784331,0.835,0.039,0,"0"
"Cd36",0,1.8313850073705,0.793,0.083,0,"0"
"Dlc1",0,1.81263383558334,0.873,0.187,0,"0"
"Dusp3",0,1.8019918408994,0.907,0.225,0,"0"
"Cd55",0,1.79457067858506,0.892,0.222,0,"0"
"Timp3",0,1.78768576676821,0.892,0.281,0,"0"
"Hspg2",0,1.74827202672274,0.845,0.119,0,"0"
