,ERCC2,cluster,group
GSE76427_GSM2011285,2.385060059,A,A
GSE76427_GSM2011290,3.360899473,A,A
GSE76427_GSM2011291,3.771335319,A,A
GSE76427_GSM2011292,3.520313574,A,A
GSE76427_GSM2011295,2.762231743,A,A
GSE76427_GSM2011296,2.416541936,A,A
GSE76427_GSM2011300,2.327992226,A,A
GSE76427_GSM2011302,2.929085268,A,A
GSE76427_GSM2011309,3.288387013,A,A
GSE76427_GSM2011310,3.444055193,A,A
GSE76427_GSM2011311,4.856818561,A,A
GSE76427_GSM2011314,2.744602444,A,A
GSE76427_GSM2011315,2.656058633,A,A
GSE76427_GSM2011318,2.852259637,A,A
GSE76427_GSM2011321,2.112791536,A,A
GSE76427_GSM2011322,1.87605415,A,A
GSE76427_GSM2011323,3.185391777,A,A
GSE76427_GSM2011324,2.936638742,A,A
GSE76427_GSM2011327,2.625974969,A,A
GSE76427_GSM2011328,2.420400911,A,A
GSE76427_GSM2011329,2.781699942,A,A
GSE76427_GSM2011341,2.327536835,A,A
GSE76427_GSM2011346,3.245453719,A,A
GSE76427_GSM2011347,3.093850775,A,A
GSE76427_GSM2011348,2.28464119,A,A
GSE76427_GSM2011352,2.773572368,A,A
GSE76427_GSM2011353,2.118676367,A,A
GSE76427_GSM2011356,2.702432137,A,A
GSE76427_GSM2011360,3.788942267,A,A
GSE76427_GSM2011361,2.380332792,A,A
GSE76427_GSM2011363,3.1415789,A,A
GSE76427_GSM2011364,3.445482247,A,A
GSE76427_GSM2011367,2.990065495,A,A
GSE76427_GSM2011377,3.544942928,A,A
GSE76427_GSM2011378,2.450007016,A,A
GSE76427_GSM2011384,2.303027002,A,A
GSE76427_GSM2011390,2.503945488,A,A
GSE76427_GSM2011391,3.136034008,A,A
GSE76427_GSM2011392,2.845141274,A,A
GSE76427_GSM2011394,3.335713427,A,A
ICGC_SP99329-DO45301-T,2.745530225,A,A
ICGC_SP50123-DO23521-T,3.603948136,A,A
ICGC_SP112201-DO50809-T,3.46281187,A,A
ICGC_SP112180-DO50799-T,4.10670814,A,A
ICGC_SP50129-DO23524-T,2.974495378,A,A
ICGC_SP107101-DO48732-T,3.456173672,A,A
ICGC_SP50127-DO23523-T,2.474812908,A,A
ICGC_SP99137-DO45207-T,2.937923624,A,A
ICGC_SP112186-DO50802-T,3.780656609,A,A
ICGC_SP99149-DO45213-T,2.512063858,A,A
ICGC_SP99305-DO45289-T,3.578702664,A,A
ICGC_SP99197-DO45237-T,2.4841624,A,A
ICGC_SP98981-DO45131-T,3.616678004,A,A
ICGC_SP50185-DO23552-T,2.717880957,A,A
ICGC_SP99093-DO45185-T,3.882746484,A,A
ICGC_SP99157-DO45217-T,3.722289839,A,A
ICGC_SP99289-DO45281-T,3.372073557,A,A
ICGC_SP99161-DO45219-T,3.45363563,A,A
ICGC_SP99265-DO45139-T,2.97335169,A,A
ICGC_SP107073-DO48717-T,3.038819287,A,A
ICGC_SP112184-DO45139-T,3.186433631,A,A
ICGC_SP50137-DO23528-T,3.217213948,A,A
ICGC_SP107094-DO48728-T,2.598306035,A,A
ICGC_SP107109-DO48736-T,3.38733107,A,A
ICGC_SP99201-DO45239-T,2.780635099,A,A
ICGC_SP192387-DO45147-T,3.021133169,A,A
ICGC_SP107097-DO48730-T,3.524154981,A,A
ICGC_SP50179-DO23549-T,2.336901424,A,A
ICGC_SP112165-DO50791-T,2.646917545,A,A
ICGC_SP98953-DO45117-T,3.387058883,A,A
ICGC_SP99271-DO45273-T,2.587445788,A,A
ICGC_SP107041-DO48697-T,3.513793947,A,A
ICGC_SP99213-DO45245-T,3.746473361,A,A
ICGC_SP99253-DO45265-T,4.002271349,A,A
ICGC_SP107132-DO48747-T,3.020710669,A,A
ICGC_SP99325-DO45299-T,3.406106912,A,A
ICGC_SP99237-DO45257-T,2.713408731,A,A
ICGC_SP99269-DO45273-T,2.587445788,A,A
ICGC_SP112213-DO50815-T,4.330347641,A,A
ICGC_SP107078-DO48720-T,3.030481939,A,A
ICGC_SP98959-DO45121-T,3.198254987,A,A
ICGC_SP50119-DO23519-T,2.731712206,A,A
ICGC_SP99173-DO45225-T,2.764712371,A,A
ICGC_SP98927-DO45105-T,3.079179224,A,A
ICGC_SP99033-DO45155-T,3.775890107,A,A
ICGC_SP50099-DO23509-T,2.319722096,A,A
ICGC_SP112276-DO50845-T,3.193110718,A,A
ICGC_SP50167-DO23543-T,2.825062536,A,A
ICGC_SP99257-DO45267-T,2.028732163,A,A
ICGC_SP99261-DO45269-T,3.779461637,A,A
ICGC_SP99089-DO45183-T,3.292247615,A,A
ICGC_SP50097-DO23508-T,3.677219395,A,A
ICGC_SP99045-DO45161-T,2.942389546,A,A
ICGC_SP112138-DO50778-T,3.802118021,A,A
ICGC_SP99011-DO45145-T,2.978888466,A,A
ICGC_SP99165-DO45221-T,3.460395874,A,A
ICGC_SP112224-DO50820-T,3.599516532,A,A
ICGC_SP99053-DO45165-T,3.190116797,A,A
ICGC_SP50131-DO23525-T,3.306109247,A,A
ICGC_SP99037-DO45157-T,2.769213845,A,A
ICGC_SP99283-DO45279-T,2.704872834,A,A
ICGC_SP99249-DO45263-T,3.288924326,A,A
ICGC_SP112300-DO50855-T,3.262464377,A,A
ICGC_SP99221-DO45249-T,3.392650556,A,A
ICGC_SP50173-DO23546-T,3.109205355,A,A
ICGC_SP99225-DO45251-T,2.675782495,A,A
ICGC_SP112194-DO50806-T,3.238486767,A,A
ICGC_SP99185-DO45231-T,2.884797625,A,A
ICGC_SP99101-DO45189-T,4.140346803,A,A
ICGC_SP99301-DO45287-T,2.748554914,A,A
ICGC_SP99141-DO45209-T,4.120061925,A,A
ICGC_SP50155-DO23537-T,3.640824017,A,A
ICGC_SP50111-DO23515-T,3.528719552,A,A
ICGC_SP107146-DO48757-T,4.678064658,A,A
ICGC_SP50175-DO23547-T,2.564577887,A,A
ICGC_SP99133-DO45205-T,3.608104559,A,A
ICGC_SP99241-DO45259-T,3.579959105,A,A
ICGC_SP99279-DO45277-T,2.969275966,A,A
ICGC_SP107010-DO48681-T,4.262842302,A,A
ICGC_SP50133-DO23526-T,4.594759827,A,A
ICGC_SP98973-DO45127-T,3.420117725,A,A
ICGC_SP99109-DO45193-T,3.584019028,A,A
ICGC_SP192418-DO45173-T,3.105140778,A,A
ICGC_SP99293-DO45283-T,3.083976762,A,A
ICGC_SP107063-DO48712-T,2.17413162,A,A
ICGC_SP99145-DO45211-T,2.820155578,A,A
ICGC_SP99275-DO45275-T,3.237333484,A,A
ICGC_SP99097-DO45187-T,3.38727348,A,A
ICGC_SP112241-DO50829-T,3.496742301,A,A
ICGC_SP107111-DO48737-T,2.717562263,A,A
ICGC_SP99337-DO45305-T,3.029157485,A,A
ICGC_SP99341-DO45307-T,3.967901703,A,A
ICGC_SP112265-DO50840-T,3.137886226,A,A
ICGC_SP99321-DO45297-T,2.920187742,A,A
TCGA_TCGA-BC-A10Y-01A,2.008913158,A,A
TCGA_TCGA-K7-AAU7-01A,2.736825013,A,A
TCGA_TCGA-BC-A10W-01A,2.981408263,A,A
TCGA_TCGA-DD-AACV-01A,2.518129284,A,A
TCGA_TCGA-DD-A1EI-01A,3.485028761,A,A
TCGA_TCGA-GJ-A6C0-01A,3.072450981,A,A
TCGA_TCGA-CC-5258-01A,3.177068588,A,A
TCGA_TCGA-DD-AACW-01A,4.016616654,A,A
TCGA_TCGA-UB-A7MF-01A,2.967109688,A,A
TCGA_TCGA-CC-A8HV-01A,3.00248595,A,A
TCGA_TCGA-DD-AADB-01A,4.273828764,A,A
TCGA_TCGA-DD-A113-01A,3.351599847,A,A
TCGA_TCGA-CC-A7IE-01A,2.419179134,A,A
TCGA_TCGA-CC-A9FW-01A,4.087779392,A,A
TCGA_TCGA-G3-A5SJ-01A,3.161351426,A,A
TCGA_TCGA-G3-A7M9-01A,3.757507255,A,A
TCGA_TCGA-2Y-A9GS-01A,3.260086051,A,A
TCGA_TCGA-ED-A7PX-01A,2.621531982,A,A
TCGA_TCGA-DD-AADC-01A,3.743924477,A,A
TCGA_TCGA-DD-AAVZ-01A,3.004111085,A,A
TCGA_TCGA-CC-A3MA-01A,3.407807231,A,A
TCGA_TCGA-2Y-A9GY-01A,3.651079926,A,A
TCGA_TCGA-DD-A1EH-01A,3.655998285,A,A
TCGA_TCGA-G3-AAV7-01A,3.394457015,A,A
TCGA_TCGA-DD-AACA-01A,3.263818629,A,A
TCGA_TCGA-BC-A3KG-01A,2.734062303,A,A
TCGA_TCGA-CC-A7IK-01A,3.930539179,A,A
TCGA_TCGA-DD-A4NS-01A,3.124999769,A,A
TCGA_TCGA-CC-A9FU-01A,4.961209045,A,A
TCGA_TCGA-DD-AACP-01A,4.355745391,A,A
TCGA_TCGA-2Y-A9H8-01A,3.269073154,A,A
TCGA_TCGA-FV-A3I1-01A,3.668309979,A,A
TCGA_TCGA-2Y-A9H7-01A,3.638517479,A,A
TCGA_TCGA-ZP-A9CZ-01A,3.130173281,A,A
TCGA_TCGA-GJ-A3OU-01A,3.128575626,A,A
TCGA_TCGA-DD-AAVS-01A,3.255995812,A,A
TCGA_TCGA-CC-A8HS-01A,4.034785479,A,A
TCGA_TCGA-FV-A3I0-01A,2.224255983,A,A
TCGA_TCGA-2Y-A9HA-01A,3.719974893,A,A
TCGA_TCGA-DD-A73B-01A,2.97025457,A,A
TCGA_TCGA-CC-A3MB-01A,3.112855905,A,A
TCGA_TCGA-DD-AAD0-01A,3.642434542,A,A
TCGA_TCGA-DD-AACZ-01A,3.188528008,A,A
TCGA_TCGA-CC-A8HU-01A,3.046613979,A,A
TCGA_TCGA-BC-4073-01B,3.528251379,A,A
TCGA_TCGA-G3-A25U-01A,2.402469161,A,A
TCGA_TCGA-UB-AA0U-01A,3.259250001,A,A
TCGA_TCGA-DD-AACA-02B,3.333044127,A,A
TCGA_TCGA-FV-A4ZQ-01A,3.590937873,A,A
TCGA_TCGA-DD-A4ND-01A,3.170268463,A,A
TCGA_TCGA-ED-A8O5-01A,3.46310945,A,A
TCGA_TCGA-UB-A7ME-01A,3.313423182,A,A
TCGA_TCGA-CC-5264-01A,3.247056127,A,A
TCGA_TCGA-DD-AACS-01A,3.020011636,A,A
TCGA_TCGA-DD-AAE0-01A,3.146783639,A,A
TCGA_TCGA-DD-AAVQ-01A,3.323002236,A,A
TCGA_TCGA-BC-A10Q-01A,2.404017694,A,A
TCGA_TCGA-FV-A23B-01A,3.115770923,A,A
TCGA_TCGA-CC-A1HT-01A,3.739681976,A,A
TCGA_TCGA-DD-AACA-02A,3.21120272,A,A
TCGA_TCGA-DD-A4NN-01A,3.729283608,A,A
TCGA_TCGA-DD-AAD1-01A,3.216029263,A,A
TCGA_TCGA-DD-AACN-01A,3.348352052,A,A
TCGA_TCGA-FV-A3R2-01A,3.738338271,A,A
TCGA_TCGA-DD-AADD-01A,3.51483388,A,A
TCGA_TCGA-ZS-A9CF-02A,1.942746639,A,A
TCGA_TCGA-UB-A7MB-01A,3.077940198,A,A
TCGA_TCGA-DD-A4NR-01A,3.207765059,A,A
TCGA_TCGA-RG-A7D4-01A,3.346122091,A,A
TCGA_TCGA-BC-A217-01A,2.623862522,A,A
TCGA_TCGA-RC-A6M3-01A,3.380561748,A,A
TCGA_TCGA-DD-A4NQ-01A,3.576567369,A,A
