,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,TRDMT1,DNMT3A,DNMT3B,NOP2,TET1,TET2,TET3,ALYREF,XPD
GSE76427_GSM2011285,6.534254454,3.034119305,3.573104353,3.99251742,4.180642926,1.600560562,5.432150573,1.030445807,3.504622651,2.206542508,3.124658423,1.905555768,1.699319211,3.30072329,7.6026504,2.385060059
GSE76427_GSM2011286,5.721305761,2.924495198,3.791513484,4.84457257,4.540767958,0.629155504,3.802263835,1.50508482,3.748081917,1.878079688,6.508666754,1.215984371,2.175243211,2.251130875,6.688038416,5.397197771
GSE76427_GSM2011287,5.042055886,2.693926863,3.593545239,3.881488812,5.705594449,1.065835826,4.069069063,1.037327429,2.986196423,2.725495008,6.731151278,1.46542324,1.776448691,2.604455341,5.914755573,5.571335319
GSE76427_GSM2011288,5.588388825,3.20189489,3.959584743,3.831722187,5.070000836,0.993681196,4.711189046,1.711847012,3.379568817,2.293765543,6.141972919,1.332244273,2.02755545,2.178999801,5.884388516,4.62653973
GSE76427_GSM2011289,5.939746454,2.888507234,3.051840145,5.081330742,4.25801617,1.247122647,3.518580982,2.079401441,3.469190172,2.162495533,5.618595708,0.980376016,1.892833974,3.104144097,5.002721928,5.362499757
GSE76427_GSM2011290,5.168067516,2.329749328,4.38311939,5.261092081,4.101596503,3.321663719,4.114986919,1.392738097,3.371793635,2.294418803,3.16596102,1.699023834,2.190636642,3.750607343,6.910675543,3.360899473
GSE76427_GSM2011291,4.966129663,2.582919475,3.124607461,4.257550779,4.629945108,1.742096673,4.79867412,1.783957881,3.251247157,1.468920692,4.093541588,1.425022787,2.537748472,2.681982539,6.456678982,3.771335319
GSE76427_GSM2011292,5.573756114,2.166483084,3.309611467,4.625441272,3.878375886,1.280797372,4.710374035,1.632022614,3.262691285,2.896760075,3.194356897,1.872011183,1.658931698,2.771635365,6.029561024,3.520313574
GSE76427_GSM2011293,1.697998197,2.601385672,1.802557923,2.853994166,2.989465426,2.251023923,1.697588478,2.552648073,5.311050665,2.340934814,3.153138777,1.914447165,4.255639806,4.027958299,3.938317421,3.648580034
GSE76427_GSM2011294,5.643539402,2.909723061,3.09279205,4.814062953,4.33370055,0.961712454,4.419485223,1.354809991,2.122077079,2.501328695,4.86392917,1.533755854,2.496562707,3.426923691,5.54515868,3.718213742
GSE76427_GSM2011295,5.868807664,2.47670011,3.433526204,4.931692551,3.954515467,1.337811475,4.969434239,1.408804134,2.561468145,2.448010462,4.592700208,2.026538113,2.146770525,2.742302748,6.482719827,2.762231743
GSE76427_GSM2011296,6.473547562,2.670610661,3.106244924,4.459811953,4.718683295,1.041768161,5.320844518,1.624589556,3.400151696,2.402323709,4.769949856,1.997105657,2.587100246,2.732958789,6.972466979,2.416541936
GSE76427_GSM2011297,5.715504647,2.287388442,3.476757412,4.088457315,5.182813296,1.328246084,4.167655915,1.521281266,3.07502041,2.269193875,6.16403963,0.804662588,2.393722495,2.15683326,5.777468473,4.668360626
GSE76427_GSM2011298,5.672021262,3.043245632,3.297270193,4.762063997,4.717388599,0.463575312,4.62915478,1.294426423,3.785064635,2.17188465,5.930912374,1.171585096,2.278305397,2.4896224,4.543133414,5.086699801
GSE76427_GSM2011299,5.915453329,2.442987242,2.551305735,4.522927315,5.451472151,1.225156233,3.403301708,1.607469041,2.910652768,1.560013226,6.515358472,1.275446836,2.142961284,2.297087281,5.345747849,4.587011559
GSE76427_GSM2011300,5.576892707,3.132124039,3.164101534,5.029217124,4.798395192,0.673244782,6.054994183,1.939021492,2.385487072,2.940495448,4.971606889,1.84706205,2.343136642,2.522863179,6.181104199,2.327992226
GSE76427_GSM2011301,5.565657306,3.4187552,3.589252352,5.566172027,4.814771395,1.500277388,3.604462476,1.423188647,4.443055197,1.579345763,6.291294918,1.225721211,1.665247622,3.014947127,4.059911829,5.691565036
GSE76427_GSM2011302,5.831873867,2.173333888,3.234102828,5.799331605,4.563646439,0.959491993,4.808204934,1.439107519,3.766489198,4.065117147,4.693232541,2.683722024,1.808839912,2.962842742,6.570966536,2.929085268
GSE76427_GSM2011303,5.059306961,2.540229193,3.12250367,4.629922044,4.304513588,1.12933108,2.503535947,1.435670947,3.612643936,1.902818052,5.453609449,1.693298064,2.196351208,2.570325539,5.065538784,4.760391177
GSE76427_GSM2011304,5.358318085,2.391193902,4.093157558,4.443961574,6.322901103,1.532834044,3.949495208,1.17921181,3.881069973,2.789607196,7.433915686,1.756929044,2.26821363,2.599079057,3.384827574,5.958984121
GSE76427_GSM2011305,4.990823273,2.104626094,2.844121734,4.189025522,4.05515637,2.15907692,4.411499879,1.705692002,2.678307885,1.663868655,6.136591005,1.227025666,1.72405097,2.711881583,7.270838187,5.812043259
GSE76427_GSM2011306,5.304191652,2.901168219,3.769077376,4.832124018,5.663245102,0.463808679,4.331692184,1.185892498,2.747554464,2.336699014,6.357244167,1.505823514,1.517899619,2.351490319,4.685470298,4.566516747
GSE76427_GSM2011307,5.842321617,2.240462944,3.297270193,4.532109044,6.220820012,1.443568451,2.730508261,0.930772754,3.400789812,3.403893768,5.784773227,1.299320128,1.38411374,3.970967395,4.383219592,5.200274617
GSE76427_GSM2011308,5.617978536,2.449442961,3.771293072,5.039839425,4.646818767,1.5708194,3.625709091,0.982594091,2.771845058,2.567291756,4.906099638,1.531534859,1.476288435,2.609203975,5.42327946,4.758447339
GSE76427_GSM2011309,6.150842372,2.497348309,2.954378927,4.504324599,3.537826219,1.642803488,4.682015913,1.417424093,3.469758793,2.690093583,5.321769753,1.645048806,1.664317636,2.248368074,6.734669146,3.288387013
GSE76427_GSM2011310,5.691918819,2.857933093,3.87867965,5.104981564,4.282159774,1.606974079,5.527347589,1.398120523,3.415263788,2.38515584,6.188492034,1.727435436,1.769662957,2.61224543,6.391538413,3.444055193
GSE76427_GSM2011311,5.807902039,2.155165635,2.508827282,4.866001608,4.791528629,4.092834063,3.780932593,1.52285555,4.275340296,2.309979553,5.587949816,1.645974023,1.821379039,3.519349012,5.463951159,4.856818561
GSE76427_GSM2011312,5.8863684,2.575391715,3.258008407,4.038765277,4.629694931,1.337684212,4.543354547,1.220141495,2.600435827,2.325857041,5.985799292,1.644122816,1.539327658,2.338290545,6.050960485,4.872177541
GSE76427_GSM2011313,5.705365451,4.485621655,2.419695681,4.184275153,4.368782953,1.095200726,4.75713509,1.356111628,3.591931538,2.160658012,5.905453556,1.557559768,2.050832238,2.688643603,5.421931433,4.860058116
GSE76427_GSM2011314,5.501046354,2.495396008,3.836189948,3.259303588,4.056003934,1.544528691,5.142559773,1.367108526,3.198107351,1.972480697,4.087134146,1.663020508,2.694628743,2.525786383,7.094964782,2.744602444
GSE76427_GSM2011315,5.804159714,3.146702453,3.686385793,5.535302484,6.050739579,0.905249254,5.114665513,1.583753998,3.976502093,1.426052674,5.551870231,1.372910888,2.250682045,2.960679196,5.828975958,2.656058633
GSE76427_GSM2011316,5.76869872,3.171996069,3.76762643,5.647522936,5.648809345,1.673281048,3.538239621,1.396838048,1.664102017,1.961468565,5.173832782,1.585814943,2.18753482,2.458192086,5.245279327,4.001837885
GSE76427_GSM2011317,5.721305761,2.654211681,3.461765308,4.190176418,4.886518642,0.670618034,4.672248687,1.339846899,3.487801409,1.258811832,5.092906758,1.102007039,2.026538265,2.350632999,5.467707258,4.163540397
GSE76427_GSM2011318,6.712200457,2.702641913,4.192590732,4.012866372,3.400616379,0.843398501,4.541158772,1.416424479,3.454791404,1.952600407,5.240732792,1.369352953,1.984613996,2.449289783,6.72932881,2.852259637
GSE76427_GSM2011319,5.668716692,3.221056778,2.896582178,4.180040813,4.209794161,1.107255362,3.464484155,1.383531167,3.227461173,1.37666,5.573415473,1.762834527,2.496199885,2.517486835,6.630285617,5.815982499
GSE76427_GSM2011320,6.106668554,3.100576834,4.048243699,4.119351436,4.033178426,1.743529131,3.793110061,1.751664865,2.861534782,1.836877404,5.860735926,1.490431815,1.88160346,2.135954684,5.955419244,5.255946481
GSE76427_GSM2011321,5.418491811,2.450735414,3.952906399,5.008671252,3.702071908,2.148574483,5.277353694,1.039204644,3.231122468,1.723797464,2.651263002,1.674401726,2.274497092,2.384692521,7.114181038,2.112791536
GSE76427_GSM2011322,5.262130385,2.982805013,3.998360379,4.149515443,5.538918844,0.911880274,5.58221882,1.264344035,3.855230994,1.501739783,3.289534097,1.438939576,1.856263708,2.887516028,7.242815693,1.87605415
GSE76427_GSM2011323,5.78286594,2.292239042,2.601847523,5.287509135,4.596808185,1.268245768,5.221687882,1.402113437,2.375677322,4.119289595,3.889651192,2.665808194,1.599446795,2.306121525,5.070516933,3.185391777
