,cluster,Immune,Fraction
1,A,Activated B cell,0.027365667
2,B,Activated B cell,0.157784071
3,B,Activated B cell,0.159486042
4,B,Activated B cell,0.139463193
5,B,Activated B cell,0.14330602
6,A,Activated B cell,0.273730788
7,A,Activated B cell,0.376786323
8,A,Activated B cell,0.059036856
9,B,Activated B cell,0.523512695
10,B,Activated B cell,0.11259703
11,A,Activated B cell,0.022618003
12,A,Activated B cell,0.072916343
13,B,Activated B cell,0.221060498
14,B,Activated B cell,0.314443607
15,B,Activated B cell,0.102870373
16,A,Activated B cell,0.094898102
17,B,Activated B cell,0.202043353
18,A,Activated B cell,0.156080258
19,B,Activated B cell,0.113016149
20,B,Activated B cell,0.231178694
21,B,Activated B cell,0.275378712
22,B,Activated B cell,0.238060303
23,B,Activated B cell,0.194325873
24,B,Activated B cell,0.210251681
25,A,Activated B cell,0.147980512
26,A,Activated B cell,0.170070007
27,A,Activated B cell,0.202010206
28,B,Activated B cell,0.158750867
29,B,Activated B cell,0.420507039
30,A,Activated B cell,0.230188037
31,A,Activated B cell,0.128738448
32,B,Activated B cell,0.14498247
33,B,Activated B cell,0.233750431
34,A,Activated B cell,0.147023007
35,B,Activated B cell,0.185019491
36,B,Activated B cell,0.244179881
37,A,Activated B cell,0.21549685
38,A,Activated B cell,0.14505115
39,A,Activated B cell,0.182670749
40,A,Activated B cell,0.170583429
41,B,Activated B cell,0.229913028
42,B,Activated B cell,0.187686327
43,A,Activated B cell,0.10300586
44,A,Activated B cell,0.158222597
45,A,Activated B cell,0.161939313
46,B,Activated B cell,0.202471744
47,B,Activated B cell,0.355336095
48,B,Activated B cell,0.231080449
49,B,Activated B cell,0.215252061
50,B,Activated B cell,0.100202827
51,B,Activated B cell,0.284376591
52,B,Activated B cell,0.228050199
53,B,Activated B cell,0.162063376
54,B,Activated B cell,0.268617576
55,B,Activated B cell,0.120563223
56,B,Activated B cell,0.189314584
57,A,Activated B cell,0.14466479
58,B,Activated B cell,0.128234636
59,B,Activated B cell,0.171377299
60,B,Activated B cell,0.148459553
61,B,Activated B cell,0.172011486
62,A,Activated B cell,0.141734803
63,A,Activated B cell,0.171281686
64,A,Activated B cell,0.101822911
65,B,Activated B cell,0.175027108
66,B,Activated B cell,0.294582513
67,B,Activated B cell,0.277241569
68,A,Activated B cell,0.511905853
69,A,Activated B cell,0.231896776
70,B,Activated B cell,0.171233119
71,B,Activated B cell,0.196568053
72,A,Activated B cell,0.168190202
73,B,Activated B cell,0.198187771
74,B,Activated B cell,0.188100011
75,B,Activated B cell,0.125036607
76,A,Activated B cell,0.559289939
77,A,Activated B cell,0.386988886
78,B,Activated B cell,0.173469141
79,A,Activated B cell,0.088777535
80,A,Activated B cell,0.108496415
81,B,Activated B cell,0.232920152
82,B,Activated B cell,0.155545854
83,A,Activated B cell,0.195523556
84,B,Activated B cell,0.164672459
85,B,Activated B cell,0.126066943
86,B,Activated B cell,0.099953492
87,B,Activated B cell,0.119865153
88,B,Activated B cell,0.098126998
89,B,Activated B cell,0.099581329
90,B,Activated B cell,0.143259198
91,B,Activated B cell,0.257940507
92,B,Activated B cell,0.184780679
93,A,Activated B cell,0.035882011
94,A,Activated B cell,0.117491097
95,B,Activated B cell,0.319798606
96,B,Activated B cell,0.122703162
97,B,Activated B cell,0.17143749
98,B,Activated B cell,0.137014772
99,B,Activated B cell,0.236250003
100,A,Activated B cell,0.120177612
101,B,Activated B cell,0.141123753
102,B,Activated B cell,0.174888743
103,B,Activated B cell,0.098251576
104,B,Activated B cell,0.144761478
105,B,Activated B cell,0.065334603
106,A,Activated B cell,0.254479669
107,A,Activated B cell,0.213270042
108,A,Activated B cell,0.135366034
109,B,Activated B cell,0.11901857
110,A,Activated B cell,0.105040364
111,B,Activated B cell,0.230794603
112,B,Activated B cell,0.246110518
113,B,Activated B cell,0.122427162
114,B,Activated B cell,0.29546447
115,B,Activated B cell,0.161736586
116,A,Activated CD4 T cell,0.444240528
117,B,Activated CD4 T cell,0.449775046
118,B,Activated CD4 T cell,0.419365287
