,METTL3,METTL14,METTL16,RBM15,RBM15B,WTAP,KIAA1429,CBLL1,ZC3H13,YTHDC1,YTHDC2,YTHDF1,YTHDF2,YTHDF3,IGF2BP1,IGF2BP2,IGF2BP3,HNRNPA2B1,HNRNPC,RBMX,FMR1,LRPPRC,ELAVL1,ALKBH5,FTO,Type
TCGA-L5-A4OR-11A,2.479976751,2.212466819,2.26092505,2.331687434,3.968229188,3.669300219,3.299177632,3.274869974,4.840653828,3.725799273,2.51526444,4.195930538,4.275586497,4.293128621,0.017898561,3.642401083,0.019147838,5.983509367,4.841854002,4.637402394,2.82472764,4.413822143,3.371370078,6.13201892,2.325670653,Normal
TCGA-L5-A4OG-11A,3.216380412,2.923372616,3.141207219,3.196426272,4.479598019,4.342774585,4.063859276,3.670864562,5.323319738,4.587733571,3.441089843,4.950552082,4.968347086,5.266566492,0.076794683,4.193888454,0.178434943,6.894918801,5.404203708,5.484546068,3.556625056,5.16014976,3.91778179,6.840935359,3.316197278,Normal
TCGA-L5-A4OQ-11A,3.95665775,3.971125998,4.348150705,4.254129014,5.560313523,5.580411494,4.763022825,4.819131362,6.598192291,5.18226758,4.295035099,5.996100139,5.873386785,6.305013214,0.006412482,3.421975121,0.198868855,7.598019209,6.477634391,6.486743823,4.351425741,5.67368253,5.124521188,8.005430425,5.048503409,Normal
TCGA-IC-A6RF-11A,3.403881652,2.892755999,3.507622007,3.654667332,5.783225539,4.785490519,3.850854823,3.832319544,5.075840134,4.922016616,3.955888762,5.734692023,5.929346103,5.238866348,3.381194373,5.65780458,0.16587505,7.252899049,6.390177668,6.145841408,3.73187676,5.627618565,5.00676293,7.382889305,3.291949798,Normal
TCGA-L5-A4OJ-11A,2.951607264,2.810024082,2.961782525,2.938531771,4.376786538,4.255760509,3.652422291,3.46488239,5.081383184,4.297226346,3.031700704,4.973980985,4.839675093,4.817293451,0.087069486,3.569033345,0.070301433,6.616147287,5.04316247,5.36534658,3.284357206,5.128163825,3.633186666,6.425178228,2.861187148,Normal
TCGA-IC-A6RE-11A,2.858018,2.476699767,2.904103131,3.111492137,5.361589954,4.345271353,3.453363406,3.492276522,4.313089597,4.333477703,3.300422141,4.988936096,5.452374292,4.985993905,0.056986986,1.568915089,1.204412868,6.525438127,5.927437258,4.991305632,3.240428029,4.565858003,4.326980271,6.592230428,2.828014796,Normal
TCGA-V5-A7RE-11A,3.200462399,3.285384086,3.340145608,4.008386006,5.128443423,5.481910325,4.236879877,3.590983011,4.665379742,4.776981922,3.647387802,6.001476669,5.726961621,5.468586969,1.022485499,6.289249468,3.119564376,7.689028269,6.238191231,6.3128236,4.229783851,6.073778438,4.652708001,6.599295189,3.299259217,Normal
TCGA-V5-AASX-11A,3.557399175,3.705329563,3.149230182,4.316395729,6.005433451,5.250811442,4.684426016,3.844400592,5.602889184,5.129558426,2.963747617,6.234984938,6.308862306,6.263933081,0.102583632,5.147045219,0.090790867,7.989720855,6.854467558,6.405558594,3.869156078,6.754346924,5.292627566,7.032968517,3.950153987,Normal
TCGA-L5-A4OF-11A,3.184351873,2.786112173,2.797749838,3.667487707,4.745099407,4.345788742,3.843865421,3.442681353,5.132076598,4.265943554,3.715436667,5.077176299,5.031269777,5.297425388,0.078408933,4.676730598,0.105785592,7.086425583,5.456066099,5.696745788,3.51769299,5.245446968,4.108785419,6.539527351,2.768241288,Normal
TCGA-L5-A4OO-11A,3.277204087,3.206555559,3.706921582,3.547282771,4.839153957,4.803470425,4.067302351,3.841246456,6.269226886,4.61586367,3.836121606,5.363463697,4.926038263,5.554829743,0,3.691392361,0.048941638,6.794810681,5.699016295,5.714502718,3.860410778,5.191059713,4.25243878,7.082044332,3.812820496,Normal
TCGA-L5-A43C-11A,2.56821118,2.502705173,2.801469988,2.34179049,4.439227667,4.003071007,3.55980916,3.525006857,5.078171898,4.017894268,2.513393225,4.510466524,4.536572066,4.503977866,0.036246077,3.499236549,0.046387276,6.2572156,5.09611127,5.132627606,2.67406847,4.548215014,3.462162437,6.689516184,2.594150795,Normal
TCGA-2H-A9GK-01A,3.454574683,2.82208493,2.887481275,4.424482253,5.395825049,5.661213656,4.281713642,3.705962768,4.654250985,4.922871825,3.685679346,6.24087024,5.917747911,5.15677613,0.11089227,6.1376135,2.799976464,7.99400506,6.511647629,6.003506547,3.97662028,5.383247183,4.535971397,5.76589691,3.206863244,Tumor
TCGA-LN-A4A4-01A,5.028863436,3.46976614,4.617966096,3.519451349,5.166730832,5.027670915,5.65626125,5.660451502,6.105315658,5.540690689,4.250316937,6.071349987,5.884021864,6.620904277,1.546910236,5.642639399,5.40819484,8.58717333,7.374466585,6.526191515,4.564138113,6.718055829,5.355266405,7.037352689,4.447241516,Tumor
TCGA-L5-A4OI-01A,3.852523244,3.57235271,3.624438054,4.231784407,5.504005246,5.379910831,4.614855318,4.681142561,5.580299592,5.014521557,4.261325371,6.246372996,6.225062381,6.302287643,0.070038378,5.03996649,2.003963739,7.898014305,6.799246715,6.200998558,4.191482334,6.594222828,5.541805792,6.047698507,2.982091276,Tumor
TCGA-L5-A4OM-01A,4.461662897,4.070971554,4.379804816,5.180530988,5.245419753,5.903723265,4.975180934,5.529672,6.039233898,5.882333748,4.216255796,6.148667044,6.590339891,6.489679638,0.684326958,6.524894929,0.487352515,8.086476421,7.079448995,7.071412921,5.851028929,6.623101722,5.612400598,6.554397588,4.600025208,Tumor
TCGA-L5-A4OG-01A,3.419112496,2.853012157,3.877786557,3.774700975,5.028727079,5.213935521,4.686160512,4.903420317,6.139888137,4.968992785,3.836619903,6.666063773,5.614294006,5.909646647,4.175533413,6.970309592,3.975123158,7.907595964,6.472732729,6.090425841,3.981628914,6.784266001,5.337150518,6.089803462,4.274930233,Tumor
TCGA-L5-A88Y-01A,2.843334508,2.574551492,2.774995385,3.280347051,4.937831557,4.44711213,3.565604568,3.997367531,4.820440717,4.433672863,3.482880016,5.956812079,5.425957757,5.367068981,0.0811468,4.450590706,2.250446846,7.181765078,5.762841679,5.239994168,3.202077132,5.134362898,4.526509681,5.620345417,2.79019182,Tumor
TCGA-R6-A6XQ-01B,3.022996667,2.525905034,3.817828005,3.297422443,5.576784554,4.937958995,3.848189188,4.167033459,4.923873865,4.371634502,3.459867315,6.204571221,5.568224858,5.205262807,3.232248836,5.840962323,3.106975802,7.726108886,6.483142257,6.756325364,4.769216092,5.678649514,5.255631367,6.097578251,3.45095664,Tumor
TCGA-ZR-A9CJ-01B,4.061717518,3.437674119,4.418274508,4.047088796,4.842407623,5.451644496,4.716274652,3.99702222,5.645958476,5.013251534,2.93664864,7.112390352,5.039220975,5.912916124,3.59657776,6.169628315,4.309844225,8.649900385,7.146602554,6.616861699,4.615973227,6.152813428,5.256329608,5.860867744,4.198722418,Tumor
TCGA-L5-A8NW-01A,3.736164579,3.186942926,3.58664866,4.003139085,5.293119848,4.782639117,4.503331613,4.765246234,5.139531808,5.240376184,4.489769107,6.116494162,5.809728149,5.690672509,0.113332505,5.343313267,2.644305251,7.646862323,6.135261124,5.887950959,4.508813757,5.49071234,4.605021331,5.743354926,3.549015181,Tumor
TCGA-S8-A6BV-01A,3.449220084,3.19115068,2.759848239,4.020912066,4.158967886,5.268746051,4.085753675,3.79125028,6.213269645,5.196247165,3.164801401,5.802345579,5.743591557,5.954749562,0.019396575,4.407597972,0.243054343,7.584303269,6.465384645,6.108494551,4.888736286,5.4129002,4.514096754,5.408433546,3.034518089,Tumor
TCGA-2H-A9GM-01A,3.707015682,2.932629901,3.848125074,3.881704166,5.643212978,5.489857504,4.239042569,4.259129991,5.598905775,5.643056226,3.868567576,7.10231157,5.976803077,6.276527156,3.964712242,4.828858412,3.69764701,8.162205927,6.854554515,6.658811947,4.497563426,6.200985461,5.403703533,5.571931151,3.598995552,Tumor
TCGA-LN-A4A5-01A,4.296327001,4.017203006,5.039337505,4.6894015,5.252553381,5.122139282,5.2256543,4.770850698,6.193916082,5.666118487,4.459911522,6.449289543,6.3495088,6.459645425,0.474474894,6.400479822,2.214428845,8.36117279,7.006789578,6.697016903,5.883481838,6.409128708,5.574415641,6.789882823,5.002133111,Tumor
TCGA-LN-A7HY-01A,4.204392308,3.377017353,3.883643478,3.510920886,5.332732822,5.621640627,4.066454619,3.853207471,5.057594259,5.224096623,3.22097256,6.808850567,5.384574465,5.388709611,3.780668592,4.838808171,1.43746456,7.579799941,7.080392991,6.335473654,3.951455321,5.732364376,5.31381107,6.869552049,3.946947717,Tumor
TCGA-2H-A9GL-01A,4.066079913,3.873675595,3.635330645,4.884136905,4.334110049,5.488324505,4.364535059,4.270389382,6.367831002,5.512178828,3.770801326,5.718484648,6.079715785,5.533956516,0.297930379,4.7504345,4.426193052,8.922413263,7.112391247,7.046898027,4.286118973,5.931814165,5.244891858,5.803323366,3.665196699,Tumor
TCGA-IG-A3YA-01A,4.142831238,3.997956665,3.865310816,4.56575114,5.700128654,5.55802093,4.911071542,4.577278243,5.287504958,5.590591596,4.091460695,5.910195646,6.660527158,5.948368406,0.075222477,3.329722244,4.102089486,8.196672974,7.230835272,6.851348488,5.042720869,5.994689224,5.469802644,6.493505596,4.280736399,Tumor
TCGA-JY-A6FB-01A,3.614192748,2.833053931,3.817968882,4.690293939,5.73044117,5.502941901,3.742938351,4.538546737,4.842732783,4.541488729,3.732783211,6.810408549,6.050293098,5.163216749,0.04546361,5.715611959,3.778398188,8.188286346,6.870481304,6.360124054,3.64297281,6.370908785,5.664246003,6.713268087,3.800869521,Tumor
TCGA-JY-A938-01A,4.388396816,3.830890801,3.431285904,4.493618295,5.962029779,4.886907608,4.87427947,4.450330154,5.840828601,5.340059267,3.769211442,6.342490106,6.508459055,5.850065787,0.578297436,6.28197135,3.207264606,8.548871797,6.910984263,7.003041487,4.991982276,6.649159274,4.910242752,6.025779883,3.108954169,Tumor
TCGA-LN-A49Y-01A,3.589868319,3.399369979,3.66584638,3.901559832,4.825628706,5.111296991,3.900657101,3.419458514,6.412121277,5.190157295,3.666814625,5.596362954,6.248741033,5.142198811,0.127386736,1.768634077,0.031332277,8.143792769,7.046984214,6.666461875,4.432816932,5.532010177,5.361584135,5.748170409,3.339226353,Tumor
TCGA-LN-A5U6-01A,3.891146766,3.646508602,3.642887489,4.297723477,5.377805168,5.723423422,4.856306699,4.444182921,6.004880648,5.155426419,3.176312107,6.20596191,6.152630418,5.40302772,0.050455873,7.385112071,3.173234163,8.092812545,7.274969258,6.4798007,4.272305482,6.261507814,5.411841114,6.765065409,3.83982196,Tumor
