,METTL3,METTL14,METTL16,RBM15,RBM15B,WTAP,KIAA1429,CBLL1,ZC3H13,YTHDC1,YTHDC2,YTHDF1,YTHDF2,YTHDF3,IGF2BP1,IGF2BP2,IGF2BP3,HNRNPA2B1,HNRNPC,RBMX,FMR1,LRPPRC,ELAVL1,ALKBH5,FTO,Type
TCGA-DD-A39X-11A,2.156090993,2.580731456,1.555729391,1.604938308,3.203353208,3.443019071,2.47273154,1.97466889,2.693217479,3.371221384,1.732480565,4.142555154,3.870169406,3.679510488,0.011439082,0.611960765,0.036411075,6.545235157,5.337911051,3.811758681,3.396319697,4.353537635,3.27045385,6.611053327,1.795202375,Normal
TCGA-DD-A1EC-11A,2.159877463,3.010032417,2.089498366,2.340836558,3.653416434,3.724631246,3.189049022,2.72625769,3.820995794,3.806337067,2.516866684,4.533287336,4.443876961,4.55921189,0.007671003,1.1508712,0.024486563,6.612099691,5.611125806,4.38467884,3.658201762,4.723059877,3.553333083,6.991076216,2.547819283,Normal
TCGA-DD-A1EL-11A,2.396193264,3.053285453,1.67638873,2.272594681,3.388699379,3.514388071,2.714513429,2.594484559,3.348446364,3.617598815,2.961601918,4.568052212,4.399588233,4.334321264,0.140195307,1.310032247,0.144469265,6.824714904,5.649581115,4.088104404,3.478689785,4.561387368,3.611770957,6.796299595,2.140119002,Normal
TCGA-DD-A39W-11A,1.950398231,2.622051415,1.69506935,1.843378765,2.890292783,3.362860422,2.760302097,2.382647683,2.881736268,3.481153989,1.879219511,4.326657128,4.030708634,4.253235348,0.041930416,0.655745181,0.057388354,6.653947285,5.537375825,3.729610918,2.914307149,4.434749197,3.499142715,7.174291599,2.292776858,Normal
TCGA-DD-A3A5-11A,1.956870535,2.426707066,1.421197798,2.045052854,3.335697556,3.491124953,2.359085666,1.971498336,3.041125739,3.368878269,1.956126078,4.455407415,4.258374506,3.844320763,0,0.475743638,0.008227393,6.369660579,5.277488876,3.812508995,3.03689952,4.182770274,3.31800179,7.076158073,1.737130305,Normal
TCGA-DD-A3A3-11A,1.922953469,2.884671956,2.121351152,2.463197579,3.681717319,4.381130599,2.556811921,2.45561306,3.178586697,3.880762128,2.164409417,4.964916459,5.055927737,4.314304711,0.020783834,1.217820712,0,6.58891038,5.926952152,4.491457586,3.427019587,4.295333992,3.784672033,7.085420747,2.050537889,Normal
TCGA-DD-A39V-11A,1.841998787,2.261942098,1.118533696,1.556153251,2.840815476,3.378841683,2.205912988,1.998386577,3.258347107,3.182948147,1.748442692,4.249826776,3.9221314,3.732281664,0.00691774,0.473378799,0,6.336746996,5.093559447,3.557133119,3.021955675,3.985449998,3.145314801,6.615211923,1.958725413,Normal
TCGA-BC-A110-11A,1.746631181,2.468831759,1.658210619,2.790108444,3.436135383,4.251815777,2.27295122,2.415953285,3.754474969,3.768884611,2.724861768,5.318841745,5.206352723,4.462356267,0,1.285136839,0.007772382,6.404028368,5.717667076,4.055955633,3.059849864,4.158232498,3.473671404,7.03848474,2.173903468,Normal
TCGA-DD-A3A1-11A,1.589234441,1.956530059,2.259550355,2.059799096,2.993405809,3.607552993,1.951394985,1.53372798,2.07945274,2.61233356,1.21852292,4.05895823,4.183082928,3.579705213,0.052121656,0.801662506,0.037380678,6.196917907,5.056799591,3.820887889,2.546064306,3.671572777,3.039069041,6.232453542,1.432341119,Normal
TCGA-DD-A1EB-11A,2.51751814,3.241202788,1.896165566,2.266407545,3.074793406,3.766446094,2.982356728,2.741690961,3.48152453,3.806984362,2.635269537,4.856932939,4.494062813,4.718225739,0.019855253,1.07778357,0.049082403,6.479313805,5.570319944,4.028179775,3.853195093,4.837069951,4.161488125,7.204345766,2.477798702,Normal
TCGA-DD-A1EI-11A,2.110547817,2.860078311,1.603157263,1.986337763,2.982335358,3.295804399,2.796949982,2.424029628,3.054253505,3.335282417,2.446766481,4.156941524,4.172354541,4.182320437,0.033405154,0.678838234,0.070583643,6.482660378,5.526524172,3.971946184,3.485048529,4.604712267,3.63804878,6.809324711,2.537265905,Normal
TCGA-BC-A10R-11A,1.554102709,2.194322748,1.548577623,2.462608313,3.627343907,4.123970145,2.617148773,2.291441835,3.976599451,3.404017326,2.603383179,4.935830816,5.123867292,4.34686636,0,1.140947419,0.046593365,6.473046383,5.588929107,3.891521409,3.283835851,4.388884655,3.34952173,6.856153524,2.269186535,Normal
TCGA-DD-A1EH-11A,1.928326629,2.719416378,1.431006421,1.927674877,2.784406712,3.386043884,2.219596355,2.217907177,2.898271758,3.222339884,2.032498659,4.136705208,4.201727969,3.981364476,0.022311774,0.636620096,0.017936822,6.252815746,5.43614153,3.429634359,2.858468281,3.789682849,3.462055644,6.790185851,1.778102785,Normal
TCGA-DD-A11C-11A,2.325418889,2.718563669,1.813790236,2.252891958,2.984705325,3.3719244,2.604171414,2.429145366,3.821378564,3.362120473,2.592680114,4.395104733,4.134253727,4.356581546,0,0.619707453,0.064779115,6.428948755,5.422439179,4.060261896,3.077099354,4.380843106,3.476019667,7.15126652,2.335574612,Normal
TCGA-DD-A1EJ-11A,2.454300108,2.987146025,1.827633751,2.494840273,3.111596092,4.06220942,2.81311178,2.573591166,3.714875155,4.005640509,2.563121731,4.644973791,4.636698114,4.521797915,0,0.770302442,0.042920992,6.797060254,6.009680014,4.22003602,3.7655515,4.707363816,3.515878744,6.622467353,1.995358165,Normal
