,METTL3,METTL14,METTL16,RBM15,RBM15B,WTAP,KIAA1429,CBLL1,ZC3H13,YTHDC1,YTHDC2,YTHDF1,YTHDF2,YTHDF3,IGF2BP1,IGF2BP2,IGF2BP3,HNRNPA2B1,HNRNPC,RBMX,FMR1,LRPPRC,ELAVL1,ALKBH5,FTO,Type
TCGA-BR-7715-11A-01R-2055-13,3.768571815,2.918290815,2.981830374,3.227886601,4.816036956,5.106555194,3.425465884,3.473145283,4.033334014,4.455722407,2.828894346,5.231387477,5.442079278,4.851002894,0.076196454,3.00036766,0.316240181,7.13260049,6.900811272,6.224402871,3.343950401,4.540851821,4.450179257,6.158616139,2.812946675,Normal
TCGA-IN-AB1X-11A-21R-A39E-31,3.729477724,3.261320488,3.34111802,3.478197847,5.365485383,5.002130459,4.152011389,4.163038156,5.575937323,5.380482538,4.177635602,5.227892375,5.799531343,5.559909327,0.019627768,2.081491321,1.273316554,7.380187436,6.212274194,6.054785108,3.940378205,5.398711204,4.424965745,6.214327483,3.349885103,Normal
TCGA-BR-6454-11A-01R-1802-13,2.758406162,2.349433504,3.000121181,3.275109583,4.948639624,4.502534922,3.378352641,3.298170444,4.605951178,4.292238428,2.512418812,4.982633597,5.218981442,4.775727996,0.008841072,2.939127636,0.211502066,6.739678014,6.084890218,5.645116843,3.017604836,4.278723753,4.169671706,6.030535622,2.939562666,Normal
TCGA-CG-5734-11A-01R-1602-13,2.303312289,2.156522823,2.532897163,2.711469797,4.636569522,4.409545042,2.760865171,3.659567265,4.199098293,4.121323806,2.551282461,5.224898086,5.198077236,4.961042151,0.074082019,4.618337926,0.070564186,6.892949537,6.053687648,5.712936331,2.604303845,4.309946671,4.162335735,5.516334183,1.971410751,Normal
TCGA-IN-7806-11A-01R-2055-13,3.228750825,2.999877185,3.043526668,2.811775567,5.339271384,4.884549081,3.532940288,4.059709158,4.191587127,4.779567561,3.066178936,5.208625333,5.888115875,5.147622559,0,1.086663537,1.633223801,7.081556936,6.602552046,5.684040527,3.522633314,4.841453394,4.50086004,6.105254014,2.920158553,Normal
TCGA-HU-A4HB-11A-11R-A251-31,4.185961665,4.432755011,4.800239862,3.637589381,5.616542081,5.507547934,4.556399985,5.140468247,6.834218201,5.596094021,4.007511281,6.329842432,5.71918837,6.256447805,0.14012514,2.492775101,0.322439295,8.062196742,7.024329654,6.578655579,4.915301946,6.073417953,5.731502055,7.56242752,5.143227685,Normal
TCGA-IP-7968-11A-01R-2203-13,2.706108346,2.645144345,3.315998858,3.219315223,5.458843273,4.978159928,3.128328214,3.820281097,4.541799163,4.72713901,3.325083567,5.558141791,5.675147203,4.889052939,5.047770318,3.393359771,0.910096662,7.122958414,6.306201531,5.506911948,3.245484254,4.867119571,4.915389436,6.375277613,3.705621882,Normal
TCGA-CG-5733-11A-01R-1602-13,2.11933061,2.034155132,2.317168303,2.225301155,4.412162998,4.121903131,2.607504314,2.881971135,3.800783962,3.706033176,2.001482329,4.533323502,4.785557875,4.036462013,0.042812465,3.640720405,0.169078629,6.255617239,5.800106005,5.155301559,2.416353628,3.837185376,3.874595348,5.275959368,2.203956298,Normal
TCGA-BR-7717-11A-01R-2055-13,3.30092848,2.834889368,2.989078318,2.888640199,4.461646422,5.019305608,3.319440621,3.553447751,3.566094235,4.345978219,2.584779988,5.025594507,5.247006552,4.89487547,0.039112938,2.36708837,0.724199539,7.153347329,6.965473783,6.26831087,3.122532086,4.654597079,4.343307612,5.590995309,2.811620225,Normal
TCGA-FP-7735-11A-01R-2055-13,3.880399504,3.862295657,4.30383042,3.112176665,5.58426954,5.298582807,4.026244116,4.808541051,5.805121396,5.142529437,3.085097259,5.747384446,5.616265349,5.611593793,0,1.43411417,0.061716388,7.675417244,7.056974711,6.657548262,4.198141295,5.35822745,5.404374546,7.45134336,4.55238322,Normal
