gene,type
SLC3A2,AMINOACID
GOT1,AMINOACID
GOT2,AMINOACID
ACAD8,AMINOACID
ACADSB,AMINOACID
NDUFAB1,AMINOACID
ASPA,AMINOACID
AGXT2,AMINOACID
GPT,AMINOACID
ARG2,AMINOACID
ARG1,AMINOACID
ASL,AMINOACID
ASNS,AMINOACID
ASS1,AMINOACID
SAT1,AMINOACID
TAT,AMINOACID
BCAT2,AMINOACID
BCAT1,AMINOACID
BCKDK,AMINOACID
BHMT,AMINOACID
BBOX1,AMINOACID
CBS,AMINOACID
CNDP2,AMINOACID
CTH,AMINOACID
CPS1,AMINOACID
CRYM,AMINOACID
CSAD,AMINOACID
CDO1,AMINOACID
HIBADH,AMINOACID
ALDH7A1,AMINOACID
AMD1,AMINOACID
HDC,AMINOACID
ODC1,AMINOACID
DDC,AMINOACID
ALDH9A1,AMINOACID
GLUD1,AMINOACID
GLUD2,AMINOACID
QDPR,AMINOACID
SLC25A10,AMINOACID
DLD,AMINOACID
DBH,AMINOACID
SHFM1,AMINOACID
FAH,AMINOACID
IL4I1,AMINOACID
FOLH1,AMINOACID
FTCD,AMINOACID
GAMT,AMINOACID
GATM,AMINOACID
GCDH,AMINOACID
GCSH,AMINOACID
GLDC,AMINOACID
AMT,AMINOACID
CGA,AMINOACID
GNMT,AMINOACID
GLUL,AMINOACID
GLS,AMINOACID
GLS2,AMINOACID
SHMT1,AMINOACID
GCLM,AMINOACID
GCLC,AMINOACID
HAO1,AMINOACID
HSD17B10,AMINOACID
HGD,AMINOACID
HNMT,AMINOACID
HPD,AMINOACID
HAL,AMINOACID
UROC1,AMINOACID
IDO1,AMINOACID
INMT,AMINOACID
DIO3,AMINOACID
IVD,AMINOACID
GCAT,AMINOACID
CKB,AMINOACID
CKM,AMINOACID
CKMT2,AMINOACID
CKMT1A,AMINOACID
KYNU,AMINOACID
SLC7A5,AMINOACID
LIAS,AMINOACID
LIPT1,AMINOACID
GSTZ1,AMINOACID
SLC45A2,AMINOACID
AIMP1,AMINOACID
AIMP2,AMINOACID
EEF1E1,AMINOACID
MCCC1,AMINOACID
MCCC2,AMINOACID
MTR,AMINOACID
MAT1A,AMINOACID
ALDH6A1,AMINOACID
MTAP,AMINOACID
MTRR,AMINOACID
NAALAD2,AMINOACID
NNMT,AMINOACID
NQO1,AMINOACID
OAT,AMINOACID
OAZ2,AMINOACID
OAZ3,AMINOACID
OAZ1,AMINOACID
DBT,AMINOACID
BCKDHA,AMINOACID
BCKDHB,AMINOACID
AZIN1,AMINOACID
SLC25A21,AMINOACID
OGDH,AMINOACID
DLST,AMINOACID
DLAT,AMINOACID
PDHA1,AMINOACID
PDHB,AMINOACID
PDHX,AMINOACID
SLC25A15,AMINOACID
SLC25A2,AMINOACID
OTC,AMINOACID
DAO,AMINOACID
DDO,AMINOACID
PAH,AMINOACID
PCBD1,AMINOACID
PNMT,AMINOACID
PAPSS1,AMINOACID
PYCR1,AMINOACID
PRODH,AMINOACID
PSMC5,AMINOACID
